year,month,size,count
2011.0,12.0,2.5<4.5kW,4383
2011.0,12.0,4.5<6.5kW,1642
2011.0,12.0,6.5<9.5kW,113
2011.0,12.0,9.5<14kW,103
2011.0,12.0,14<25kW,33
2011.0,12.0,25<=100kW,32
2012.0,1.0,<2.5kW,7622
2012.0,1.0,2.5<4.5kW,3788
2012.0,1.0,4.5<6.5kW,1403
2012.0,1.0,6.5<9.5kW,73
2012.0,1.0,9.5<14kW,97
2012.0,1.0,14<25kW,13
2012.0,1.0,25<=100kW,22
2012.0,2.0,<2.5kW,11800
2012.0,2.0,2.5<4.5kW,5422
2012.0,2.0,4.5<6.5kW,2058
2012.0,2.0,6.5<9.5kW,110
2012.0,2.0,9.5<14kW,122
2012.0,2.0,14<25kW,23
2012.0,2.0,25<=100kW,27
2012.0,3.0,<2.5kW,13987
2012.0,3.0,2.5<4.5kW,6527
2012.0,3.0,4.5<6.5kW,2779
2012.0,3.0,6.5<9.5kW,146
2012.0,3.0,9.5<14kW,144
2012.0,3.0,14<25kW,26
2012.0,3.0,25<=100kW,23
2012.0,4.0,<2.5kW,15332
2012.0,4.0,2.5<4.5kW,7515
2012.0,4.0,4.5<6.5kW,3380
2012.0,4.0,6.5<9.5kW,127
2012.0,4.0,9.5<14kW,136
2012.0,4.0,14<25kW,43
2012.0,4.0,25<=100kW,21
2012.0,5.0,<2.5kW,23135
2012.0,5.0,2.5<4.5kW,13479
2012.0,5.0,4.5<6.5kW,6246
2012.0,5.0,6.5<9.5kW,296
2012.0,5.0,9.5<14kW,215
2012.0,5.0,14<25kW,60
2012.0,5.0,25<=100kW,47
2012.0,6.0,<2.5kW,27471
2012.0,6.0,2.5<4.5kW,20015
2012.0,6.0,4.5<6.5kW,10606
2012.0,6.0,6.5<9.5kW,476
2012.0,6.0,9.5<14kW,492
2012.0,6.0,14<25kW,102
2012.0,6.0,25<=100kW,51
2012.0,7.0,<2.5kW,11366
2012.0,7.0,2.5<4.5kW,9247
2012.0,7.0,4.5<6.5kW,4754
2012.0,7.0,6.5<9.5kW,163
2012.0,7.0,9.5<14kW,147
2012.0,7.0,14<25kW,70
2012.0,7.0,25<=100kW,31
2012.0,8.0,<2.5kW,11366
2012.0,8.0,2.5<4.5kW,10119
2012.0,8.0,4.5<6.5kW,6021
2012.0,8.0,6.5<9.5kW,250
2012.0,8.0,9.5<14kW,160
2012.0,8.0,14<25kW,48
2012.0,8.0,25<=100kW,29
2012.0,9.0,<2.5kW,10089
2012.0,9.0,2.5<4.5kW,10560
2012.0,9.0,4.5<6.5kW,7103
2012.0,9.0,6.5<9.5kW,298
2012.0,9.0,9.5<14kW,227
2012.0,9.0,14<25kW,100
2012.0,9.0,25<=100kW,45
2012.0,10.0,<2.5kW,9142
2012.0,10.0,2.5<4.5kW,8002
2012.0,10.0,4.5<6.5kW,4988
2012.0,10.0,6.5<9.5kW,227
2012.0,10.0,9.5<14kW,148
2012.0,10.0,14<25kW,68
2012.0,10.0,25<=100kW,34
2012.0,11.0,<2.5kW,8890
2012.0,11.0,2.5<4.5kW,7983
2012.0,11.0,4.5<6.5kW,5107
2012.0,11.0,6.5<9.5kW,249
2012.0,11.0,9.5<14kW,170
2012.0,11.0,14<25kW,60
2012.0,11.0,25<=100kW,47
2012.0,12.0,<2.5kW,10448
2012.0,12.0,2.5<4.5kW,11360
2012.0,12.0,4.5<6.5kW,7740
2012.0,12.0,6.5<9.5kW,475
2012.0,12.0,9.5<14kW,373
2012.0,12.0,14<25kW,104
2012.0,12.0,25<=100kW,63
2013.0,1.0,<2.5kW,5518
2013.0,1.0,2.5<4.5kW,5491
2013.0,1.0,4.5<6.5kW,3514
2013.0,1.0,6.5<9.5kW,186
2013.0,1.0,9.5<14kW,187
2013.0,1.0,14<25kW,64
2013.0,1.0,25<=100kW,44
2013.0,2.0,<2.5kW,5152
2013.0,2.0,2.5<4.5kW,5748
2013.0,2.0,4.5<6.5kW,3982
2013.0,2.0,6.5<9.5kW,239
2013.0,2.0,9.5<14kW,218
2013.0,2.0,14<25kW,97
2013.0,2.0,25<=100kW,53
2013.0,3.0,<2.5kW,5011
2013.0,3.0,2.5<4.5kW,5868
2013.0,3.0,4.5<6.5kW,4600
2013.0,3.0,6.5<9.5kW,277
2013.0,3.0,9.5<14kW,215
2013.0,3.0,14<25kW,96
2013.0,3.0,25<=100kW,75
2013.0,4.0,<2.5kW,4991
2013.0,4.0,2.5<4.5kW,5869
2013.0,4.0,4.5<6.5kW,5225
2013.0,4.0,6.5<9.5kW,245
2013.0,4.0,9.5<14kW,275
2013.0,4.0,14<25kW,69
2013.0,4.0,25<=100kW,67
2013.0,5.0,<2.5kW,5335
2013.0,5.0,2.5<4.5kW,6774
2013.0,5.0,4.5<6.5kW,7223
2013.0,5.0,6.5<9.5kW,326
2013.0,5.0,9.5<14kW,273
2013.0,5.0,14<25kW,122
2013.0,5.0,25<=100kW,91
2013.0,6.0,<2.5kW,5026
2013.0,6.0,2.5<4.5kW,7468
2013.0,6.0,4.5<6.5kW,8780
2013.0,6.0,6.5<9.5kW,366
2013.0,6.0,9.5<14kW,339
2013.0,6.0,14<25kW,131
2013.0,6.0,25<=100kW,113
2013.0,7.0,<2.5kW,4867
2013.0,7.0,2.5<4.5kW,6100
2013.0,7.0,4.5<6.5kW,5003
2013.0,7.0,6.5<9.5kW,291
2013.0,7.0,9.5<14kW,303
2013.0,7.0,14<25kW,112
2013.0,7.0,25<=100kW,89
2013.0,8.0,<2.5kW,4014
2013.0,8.0,2.5<4.5kW,5488
2013.0,8.0,4.5<6.5kW,4573
2013.0,8.0,6.5<9.5kW,359
2013.0,8.0,9.5<14kW,335
2013.0,8.0,14<25kW,103
2013.0,8.0,25<=100kW,89
2013.0,9.0,<2.5kW,3551
2013.0,9.0,2.5<4.5kW,5488
2013.0,9.0,4.5<6.5kW,4854
2013.0,9.0,6.5<9.5kW,373
2013.0,9.0,9.5<14kW,407
2013.0,9.0,14<25kW,122
2013.0,9.0,25<=100kW,94
2013.0,10.0,<2.5kW,3919
2013.0,10.0,2.5<4.5kW,6552
2013.0,10.0,4.5<6.5kW,5709
2013.0,10.0,6.5<9.5kW,462
2013.0,10.0,9.5<14kW,423
2013.0,10.0,14<25kW,130
2013.0,10.0,25<=100kW,121
2013.0,11.0,<2.5kW,4070
2013.0,11.0,2.5<4.5kW,5930
2013.0,11.0,4.5<6.5kW,5821
2013.0,11.0,6.5<9.5kW,450
2013.0,11.0,9.5<14kW,455
2013.0,11.0,14<25kW,130
2013.0,11.0,25<=100kW,110
2013.0,12.0,<2.5kW,3028
2013.0,12.0,2.5<4.5kW,4839
2013.0,12.0,4.5<6.5kW,4807
2013.0,12.0,6.5<9.5kW,390
2013.0,12.0,9.5<14kW,384
2013.0,12.0,14<25kW,150
2013.0,12.0,25<=100kW,155
2014.0,1.0,<2.5kW,3130
2014.0,1.0,2.5<4.5kW,4813
2014.0,1.0,4.5<6.5kW,4706
2014.0,1.0,6.5<9.5kW,397
2014.0,1.0,9.5<14kW,423
2014.0,1.0,14<25kW,152
2014.0,1.0,25<=100kW,147
2014.0,2.0,<2.5kW,3419
2014.0,2.0,2.5<4.5kW,5193
2014.0,2.0,4.5<6.5kW,4822
2014.0,2.0,6.5<9.5kW,255
2014.0,2.0,9.5<14kW,240
2014.0,2.0,14<25kW,94
2014.0,2.0,25<=100kW,93
2014.0,3.0,<2.5kW,3027
2014.0,3.0,2.5<4.5kW,5500
2014.0,3.0,4.5<6.5kW,4988
2014.0,3.0,6.5<9.5kW,249
2014.0,3.0,9.5<14kW,245
2014.0,3.0,14<25kW,114
2014.0,3.0,25<=100kW,141
2014.0,4.0,<2.5kW,2766
2014.0,4.0,2.5<4.5kW,5156
2014.0,4.0,4.5<6.5kW,4943
