year,month,state,size,capacity
2008,10,aus,0,1992
2008,10,aus,1,324
2008,10,aus,2,100
2008,10,aus,3,17
2008,10,aus,4,10
2008,10,aus,5,16
2008,10,aus,6,30
2008,10,aus,7,0
2008,10,aus,8,0
2008,10,aus,9,0
2008,10,aus,a,0
2008,11,aus,0,1995
2008,11,aus,1,276
2008,11,aus,2,62
2008,11,aus,3,8
2008,11,aus,4,22
2008,11,aus,5,34
2008,11,aus,6,0
2008,11,aus,7,0
2008,11,aus,8,0
2008,11,aus,9,0
2008,11,aus,a,0
2008,12,aus,0,2314
2008,12,aus,1,380
2008,12,aus,2,122
2008,12,aus,3,32
2008,12,aus,4,48
2008,12,aus,5,20
2008,12,aus,6,58
2008,12,aus,7,0
2008,12,aus,8,0
2008,12,aus,9,0
2008,12,aus,a,0
2009,1,aus,0,2398
2009,1,aus,1,227
2009,1,aus,2,66
2009,1,aus,3,15
2009,1,aus,4,10
2009,1,aus,5,16
2009,1,aus,6,0
2009,1,aus,7,0
2009,1,aus,8,0
2009,1,aus,9,0
2009,1,aus,a,0
2009,2,aus,0,3292
2009,2,aus,1,302
2009,2,aus,2,94
2009,2,aus,3,23
2009,2,aus,4,0
2009,2,aus,5,43
2009,2,aus,6,0
2009,2,aus,7,0
2009,2,aus,8,0
2009,2,aus,9,0
2009,2,aus,a,0
2009,3,aus,0,3985
2009,3,aus,1,381
2009,3,aus,2,114
2009,3,aus,3,9
2009,3,aus,4,10
2009,3,aus,5,15
2009,3,aus,6,0
2009,3,aus,7,100
2009,3,aus,8,0
2009,3,aus,9,0
2009,3,aus,a,0
2009,4,aus,0,3804
2009,4,aus,1,380
2009,4,aus,2,181
2009,4,aus,3,35
2009,4,aus,4,48
2009,4,aus,5,23
2009,4,aus,6,0
2009,4,aus,7,0
2009,4,aus,8,0
2009,4,aus,9,0
2009,4,aus,a,0
2009,5,aus,0,4529
2009,5,aus,1,435
2009,5,aus,2,168
2009,5,aus,3,48
2009,5,aus,4,30
2009,5,aus,5,14
2009,5,aus,6,56
2009,5,aus,7,0
2009,5,aus,8,0
2009,5,aus,9,0
2009,5,aus,a,0
2009,6,aus,0,4802
2009,6,aus,1,377
2009,6,aus,2,149
2009,6,aus,3,16
2009,6,aus,4,33
2009,6,aus,5,87
2009,6,aus,6,0
2009,6,aus,7,0
2009,6,aus,8,304
2009,6,aus,9,0
2009,6,aus,a,0
2009,7,aus,0,5625
2009,7,aus,1,491
2009,7,aus,2,244
2009,7,aus,3,45
2009,7,aus,4,32
2009,7,aus,5,40
2009,7,aus,6,34
2009,7,aus,7,0
2009,7,aus,8,0
2009,7,aus,9,0
2009,7,aus,a,0
2009,8,aus,0,6206
2009,8,aus,1,686
2009,8,aus,2,186
2009,8,aus,3,60
2009,8,aus,4,96
2009,8,aus,5,32
2009,8,aus,6,71
2009,8,aus,7,0
2009,8,aus,8,0
2009,8,aus,9,0
2009,8,aus,a,0
2009,9,aus,0,7107
2009,9,aus,1,858
2009,9,aus,2,312
2009,9,aus,3,33
2009,9,aus,4,130
2009,9,aus,5,103
2009,9,aus,6,129
2009,9,aus,7,0
2009,9,aus,8,0
2009,9,aus,9,0
2009,9,aus,a,0
2009,10,aus,0,9018
2009,10,aus,1,1065
2009,10,aus,2,426
2009,10,aus,3,53
2009,10,aus,4,43
2009,10,aus,5,59
2009,10,aus,6,57
2009,10,aus,7,0
2009,10,aus,8,1000
2009,10,aus,9,0
2009,10,aus,a,0
2009,11,aus,0,10666
2009,11,aus,1,1314
2009,11,aus,2,522
2009,11,aus,3,89
2009,11,aus,4,98
2009,11,aus,5,61
2009,11,aus,6,0
2009,11,aus,7,0
2009,11,aus,8,336
2009,11,aus,9,0
2009,11,aus,a,0
2009,12,aus,0,9477
2009,12,aus,1,1503
2009,12,aus,2,524
2009,12,aus,3,113
2009,12,aus,4,138
2009,12,aus,5,40
2009,12,aus,6,116
2009,12,aus,7,51
2009,12,aus,8,320
2009,12,aus,9,0
2009,12,aus,a,0
2010,1,aus,0,9896
2010,1,aus,1,1327
2010,1,aus,2,467
2010,1,aus,3,77
2010,1,aus,4,166
2010,1,aus,5,0
2010,1,aus,6,64
2010,1,aus,7,0
2010,1,aus,8,1114
2010,1,aus,9,0
2010,1,aus,a,0
2010,2,aus,0,12154
2010,2,aus,1,2371
2010,2,aus,2,697
2010,2,aus,3,183
2010,2,aus,4,297
2010,2,aus,5,100
2010,2,aus,6,0
2010,2,aus,7,0
2010,2,aus,8,0
2010,2,aus,9,0
2010,2,aus,a,0
2010,3,aus,0,16235
2010,3,aus,1,3305
2010,3,aus,2,1075
2010,3,aus,3,260
2010,3,aus,4,516
2010,3,aus,5,153
2010,3,aus,6,182
2010,3,aus,7,67
2010,3,aus,8,0
2010,3,aus,9,0
2010,3,aus,a,0
2010,4,aus,0,16754
2010,4,aus,1,4030
2010,4,aus,2,1185
2010,4,aus,3,235
2010,4,aus,4,530
2010,4,aus,5,135
2010,4,aus,6,29
2010,4,aus,7,0
2010,4,aus,8,0
2010,4,aus,9,0
2010,4,aus,a,0
2010,5,aus,0,21194
2010,5,aus,1,4927
2010,5,aus,2,1278
2010,5,aus,3,368
2010,5,aus,4,812
2010,5,aus,5,67
2010,5,aus,6,85
2010,5,aus,7,159
2010,5,aus,8,300
2010,5,aus,9,0
2010,5,aus,a,0
2010,6,aus,0,23016
2010,6,aus,1,6213
2010,6,aus,2,2084
2010,6,aus,3,512
2010,6,aus,4,1670
2010,6,aus,5,114
2010,6,aus,6,249
2010,6,aus,7,200
2010,6,aus,8,0
2010,6,aus,9,0
2010,6,aus,a,0
2010,7,aus,0,21645
2010,7,aus,1,7685
2010,7,aus,2,2634
2010,7,aus,3,610
2010,7,aus,4,1636
2010,7,aus,5,125
2010,7,aus,6,290
2010,7,aus,7,0
2010,7,aus,8,0
2010,7,aus,9,0
2010,7,aus,a,0
2010,8,aus,0,22739
2010,8,aus,1,8449
2010,8,aus,2,2946
2010,8,aus,3,748
2010,8,aus,4,1838
2010,8,aus,5,185
2010,8,aus,6,323
2010,8,aus,7,120
2010,8,aus,8,0
2010,8,aus,9,0
2010,8,aus,a,0
2010,9,aus,0,24651
2010,9,aus,1,9802
2010,9,aus,2,3392
2010,9,aus,3,726
2010,9,aus,4,2181
2010,9,aus,5,241
2010,9,aus,6,266
2010,9,aus,7,228
2010,9,aus,8,0
2010,9,aus,9,0
2010,9,aus,a,0
2010,10,aus,0,27595
2010,10,aus,1,10843
2010,10,aus,2,3741
2010,10,aus,3,944
2010,10,aus,4,1984
2010,10,aus,5,152
2010,10,aus,6,218
2010,10,aus,7,144
2010,10,aus,8,200
2010,10,aus,9,0
2010,10,aus,a,0
2010,11,aus,0,32143
2010,11,aus,1,13550
2010,11,aus,2,4528
2010,11,aus,3,768
2010,11,aus,4,2340
2010,11,aus,5,438
2010,11,aus,6,576
2010,11,aus,7,507
2010,11,aus,8,0
2010,11,aus,9,0
2010,11,aus,a,0
2010,12,aus,0,23659
2010,12,aus,1,10651
2010,12,aus,2,3263
2010,12,aus,3,686
2010,12,aus,4,2096
2010,12,aus,5,243
2010,12,aus,6,309
2010,12,aus,7,227
2010,12,aus,8,0
2010,12,aus,9,0
2010,12,aus,a,0
2011,1,aus,0,31779
2011,1,aus,1,15642
2011,1,aus,2,5290
2011,1,aus,3,941
2011,1,aus,4,3644
2011,1,aus,5,264
2011,1,aus,6,419
2011,1,aus,7,205
2011,1,aus,8,0
2011,1,aus,9,0
2011,1,aus,a,0
2011,2,aus,0,36262
2011,2,aus,1,17214
2011,2,aus,2,5618
2011,2,aus,3,1178
2011,2,aus,4,3321
2011,2,aus,5,409
2011,2,aus,6,273
2011,2,aus,7,389
2011,2,aus,8,0
2011,2,aus,9,0
2011,2,aus,a,0
2011,3,aus,0,44152
2011,3,aus,1,21596
2011,3,aus,2,7426
2011,3,aus,3,1057
2011,3,aus,4,5072
2011,3,aus,5,375
2011,3,aus,6,522
2011,3,aus,7,0
2011,3,aus,8,101
2011,3,aus,9,0
2011,3,aus,a,0
2011,4,aus,0,40942
2011,4,aus,1,20672
2011,4,aus,2,6959
2011,4,aus,3,1196
2011,4,aus,4,5117
2011,4,aus,5,554
2011,4,aus,6,479
2011,4,aus,7,148
2011,4,aus,8,0
2011,4,aus,9,0
2011,4,aus,a,0
2011,5,aus,0,61033
2011,5,aus,1,34431
2011,5,aus,2,11233
2011,5,aus,3,1517
2011,5,aus,4,5402
2011,5,aus,5,697
2011,5,aus,6,1125
