year,month,size,installations,capacity
2012,11,More than 30 MW,,0
2012,12,Less than 2.5 kW,10448,18357
2012,12,2.5 to 4.5 kW,11360,36931
2012,12,4.5 to 6.5 kW,7740,39433
2012,12,6.5 to 9.5 kW,475,3625
2012,12,9.5 to 14 kW,373,3842
2012,12,14 to 25 kW,104,1841
2012,12,25 to 100 kW,63,2353
2012,12,100 kW to 5 MW,,403
2012,12,5 MW to 30 MW,,0
2012,12,More than 30 MW,,0
2013,1,Less than 2.5 kW,5518,9500
2013,1,2.5 to 4.5 kW,5491,17951
2013,1,4.5 to 6.5 kW,3514,17915
2013,1,6.5 to 9.5 kW,186,1437
2013,1,9.5 to 14 kW,187,1947
2013,1,14 to 25 kW,64,1131
2013,1,25 to 100 kW,44,1858
2013,1,100 kW to 5 MW,,142
2013,1,5 MW to 30 MW,,0
2013,1,More than 30 MW,,0
2013,2,Less than 2.5 kW,5152,8884
2013,2,2.5 to 4.5 kW,5748,18802
2013,2,4.5 to 6.5 kW,3982,20337
2013,2,6.5 to 9.5 kW,239,1827
2013,2,9.5 to 14 kW,218,2232
2013,2,14 to 25 kW,97,1717
2013,2,25 to 100 kW,53,2105
2013,2,100 kW to 5 MW,,200
2013,2,5 MW to 30 MW,,0
2013,2,More than 30 MW,,0
2013,3,Less than 2.5 kW,5011,8565
2013,3,2.5 to 4.5 kW,5868,19190
2013,3,4.5 to 6.5 kW,4600,23565
2013,3,6.5 to 9.5 kW,277,2129
2013,3,9.5 to 14 kW,215,2207
2013,3,14 to 25 kW,96,1758
2013,3,25 to 100 kW,75,3129
2013,3,100 kW to 5 MW,,342
2013,3,5 MW to 30 MW,,0
2013,3,More than 30 MW,,0
2013,4,Less than 2.5 kW,4991,8451
2013,4,2.5 to 4.5 kW,5869,19225
2013,4,4.5 to 6.5 kW,5225,26788
2013,4,6.5 to 9.5 kW,245,1862
2013,4,9.5 to 14 kW,275,2836
2013,4,14 to 25 kW,69,1262
2013,4,25 to 100 kW,67,2583
2013,4,100 kW to 5 MW,,300
2013,4,5 MW to 30 MW,,0
2013,4,More than 30 MW,,0
2013,5,Less than 2.5 kW,5335,8953
2013,5,2.5 to 4.5 kW,6774,22152
2013,5,4.5 to 6.5 kW,7223,37119
2013,5,6.5 to 9.5 kW,326,2474
2013,5,9.5 to 14 kW,273,2847
2013,5,14 to 25 kW,122,2163
2013,5,25 to 100 kW,91,3711
2013,5,100 kW to 5 MW,,0
2013,5,5 MW to 30 MW,,0
2013,5,More than 30 MW,,0
2013,6,Less than 2.5 kW,5026,8752
2013,6,2.5 to 4.5 kW,7468,24435
2013,6,4.5 to 6.5 kW,8780,45443
2013,6,6.5 to 9.5 kW,366,2769
2013,6,9.5 to 14 kW,339,3553
2013,6,14 to 25 kW,131,2339
2013,6,25 to 100 kW,113,4146
2013,6,100 kW to 5 MW,,346
2013,6,5 MW to 30 MW,,0
2013,6,More than 30 MW,,0
2013,7,Less than 2.5 kW,4867,7931
2013,7,2.5 to 4.5 kW,6100,19854
2013,7,4.5 to 6.5 kW,5003,25644
2013,7,6.5 to 9.5 kW,291,2216
2013,7,9.5 to 14 kW,303,3123
2013,7,14 to 25 kW,112,1989
2013,7,25 to 100 kW,89,3601
2013,7,100 kW to 5 MW,,603
2013,7,5 MW to 30 MW,,0
2013,7,More than 30 MW,,0
2013,8,Less than 2.5 kW,4014,6401
2013,8,2.5 to 4.5 kW,5488,18010
2013,8,4.5 to 6.5 kW,4573,23459
2013,8,6.5 to 9.5 kW,359,2774
2013,8,9.5 to 14 kW,335,3460
2013,8,14 to 25 kW,103,1818
2013,8,25 to 100 kW,89,3307
2013,8,100 kW to 5 MW,,1439
2013,8,5 MW to 30 MW,,0
2013,8,More than 30 MW,,0
2013,9,Less than 2.5 kW,3551,5825
2013,9,2.5 to 4.5 kW,5488,18082
2013,9,4.5 to 6.5 kW,4854,24987
2013,9,6.5 to 9.5 kW,373,2848
2013,9,9.5 to 14 kW,407,4193
2013,9,14 to 25 kW,122,2124
2013,9,25 to 100 kW,94,3878
2013,9,100 kW to 5 MW,,900
2013,9,5 MW to 30 MW,,0
2013,9,More than 30 MW,,0
2013,10,Less than 2.5 kW,3919,6534
2013,10,2.5 to 4.5 kW,6552,21567
2013,10,4.5 to 6.5 kW,5709,29422
2013,10,6.5 to 9.5 kW,462,3556
2013,10,9.5 to 14 kW,423,4348
2013,10,14 to 25 kW,130,2355
2013,10,25 to 100 kW,121,4746
2013,10,100 kW to 5 MW,,900
2013,10,5 MW to 30 MW,,0
2013,10,More than 30 MW,,0
2013,11,Less than 2.5 kW,4070,6698
2013,11,2.5 to 4.5 kW,5930,19557
2013,11,4.5 to 6.5 kW,5821,30038
2013,11,6.5 to 9.5 kW,450,3434
2013,11,9.5 to 14 kW,455,4673
2013,11,14 to 25 kW,130,2313
2013,11,25 to 100 kW,110,4295
2013,11,100 kW to 5 MW,,664
2013,11,5 MW to 30 MW,,13306
2013,11,More than 30 MW,,0
2013,12,Less than 2.5 kW,3028,5005
2013,12,2.5 to 4.5 kW,4839,15952
2013,12,4.5 to 6.5 kW,4807,24884
2013,12,6.5 to 9.5 kW,390,3024
2013,12,9.5 to 14 kW,384,3923
2013,12,14 to 25 kW,150,2611
2013,12,25 to 100 kW,155,5752
2013,12,100 kW to 5 MW,,3387
2013,12,5 MW to 30 MW,,0
2013,12,More than 30 MW,,0
2014,1,Less than 2.5 kW,3130,5238
2014,1,2.5 to 4.5 kW,4813,15860
2014,1,4.5 to 6.5 kW,4706,24471
2014,1,6.5 to 9.5 kW,397,3062
2014,1,9.5 to 14 kW,423,4347
2014,1,14 to 25 kW,152,2693
2014,1,25 to 100 kW,147,5392
2014,1,100 kW to 5 MW,,528
2014,1,5 MW to 30 MW,,0
2014,1,More than 30 MW,,0
2014,2,Less than 2.5 kW,3419,5746
2014,2,2.5 to 4.5 kW,5193,17005
2014,2,4.5 to 6.5 kW,4822,25070
2014,2,6.5 to 9.5 kW,255,1939
2014,2,9.5 to 14 kW,240,2498
2014,2,14 to 25 kW,94,1729
2014,2,25 to 100 kW,93,3646
2014,2,100 kW to 5 MW,,939
2014,2,5 MW to 30 MW,,0
2014,2,More than 30 MW,,0
2014,3,Less than 2.5 kW,3027,5192
2014,3,2.5 to 4.5 kW,5500,18027
2014,3,4.5 to 6.5 kW,4988,25872
2014,3,6.5 to 9.5 kW,249,1873
2014,3,9.5 to 14 kW,245,2553
2014,3,14 to 25 kW,114,2058
2014,3,25 to 100 kW,141,6211
2014,3,100 kW to 5 MW,,900
2014,3,5 MW to 30 MW,,0
2014,3,More than 30 MW,,0
2014,4,Less than 2.5 kW,2766,4778
2014,4,2.5 to 4.5 kW,5156,16934
2014,4,4.5 to 6.5 kW,4943,25675
2014,4,6.5 to 9.5 kW,223,1670
2014,4,9.5 to 14 kW,226,2354
2014,4,14 to 25 kW,89,1590
2014,4,25 to 100 kW,95,3548
2014,4,100 kW to 5 MW,,5260
2014,4,5 MW to 30 MW,,0
2014,4,More than 30 MW,,0
2014,5,Less than 2.5 kW,3186,5363
2014,5,2.5 to 4.5 kW,6155,20193
2014,5,4.5 to 6.5 kW,5937,30807
2014,5,6.5 to 9.5 kW,299,2283
2014,5,9.5 to 14 kW,312,3262
2014,5,14 to 25 kW,136,2429
2014,5,25 to 100 kW,161,6844
2014,5,100 kW to 5 MW,,2659
2014,5,5 MW to 30 MW,,20000
2014,5,More than 30 MW,,0
2014,6,Less than 2.5 kW,2901,4866
2014,6,2.5 to 4.5 kW,5306,17454
2014,6,4.5 to 6.5 kW,5395,28076
2014,6,6.5 to 9.5 kW,271,2055
2014,6,9.5 to 14 kW,243,2550
2014,6,14 to 25 kW,136,2450
2014,6,25 to 100 kW,164,6675
2014,6,100 kW to 5 MW,,969
2014,6,5 MW to 30 MW,,0
2014,6,More than 30 MW,,0
2014,7,Less than 2.5 kW,3303,5575
2014,7,2.5 to 4.5 kW,6192,20298
2014,7,4.5 to 6.5 kW,5836,30330
2014,7,6.5 to 9.5 kW,306,2331
2014,7,9.5 to 14 kW,280,2925
2014,7,14 to 25 kW,162,2926
2014,7,25 to 100 kW,182,7362
2014,7,100 kW to 5 MW,,1678
2014,7,5 MW to 30 MW,,0
2014,7,More than 30 MW,,0
2014,8,Less than 2.5 kW,3059,5255
2014,8,2.5 to 4.5 kW,5589,18351
2014,8,4.5 to 6.5 kW,5178,26864
2014,8,6.5 to 9.5 kW,328,2475
2014,8,9.5 to 14 kW,291,3052
2014,8,14 to 25 kW,155,2735
2014,8,25 to 100 kW,179,7407
2014,8,100 kW to 5 MW,,1084
2014,8,5 MW to 30 MW,,0
2014,8,More than 30 MW,,0
2014,9,Less than 2.5 kW,3555,6038
2014,9,2.5 to 4.5 kW,6140,20166
2014,9,4.5 to 6.5 kW,5872,30558
2014,9,6.5 to 9.5 kW,382,2882
2014,9,9.5 to 14 kW,305,3212
2014,9,14 to 25 kW,155,2747
2014,9,25 to 100 kW,168,6750
2014,9,100 kW to 5 MW,,862
2014,9,5 MW to 30 MW,,0
2014,9,More than 30 MW,,0
2014,10,Less than 2.5 kW,3312,5643
2014,10,2.5 to 4.5 kW,6489,21335
2014,10,4.5 to 6.5 kW,5935,30858
2014,10,6.5 to 9.5 kW,373,2791
2014,10,9.5 to 14 kW,336,3499
2014,10,14 to 25 kW,193,3423
2014,10,25 to 100 kW,173,7344
2014,10,100 kW to 5 MW,,1033
2014,10,5 MW to 30 MW,,0
2014,10,More than 30 MW,,0
2014,11,Less than 2.5 kW,2542,4316
2014,11,2.5 to 4.5 kW,5472,18002
2014,11,4.5 to 6.5 kW,5158,26869
2014,11,6.5 to 9.5 kW,371,2805
2014,11,9.5 to 14 kW,289,3048
2014,11,14 to 25 kW,128,2244
2014,11,25 to 100 kW,195,8109
2014,11,100 kW to 5 MW,,1897
2014,11,5 MW to 30 MW,,0
2014,11,More than 30 MW,,0
2014,12,Less than 2.5 kW,2187,3763
2014,12,2.5 to 4.5 kW,5355,17538
2014,12,4.5 to 6.5 kW,4946,25752
2014,12,6.5 to 9.5 kW,384,2863
2014,12,9.5 to 14 kW,292,3057
2014,12,14 to 25 kW,169,3015
2014,12,25 to 100 kW,199,8537
2014,12,100 kW to 5 MW,,1500
2014,12,5 MW to 30 MW,,0
2014,12,More than 30 MW,,0
2015,1,Less than 2.5 kW,2072,3569
2015,1,2.5 to 4.5 kW,4474,14705
2015,1,4.5 to 6.5 kW,4175,21721
2015,1,6.5 to 9.5 kW,268,2021
2015,1,9.5 to 14 kW,212,2229
2015,1,14 to 25 kW,128,2235
2015,1,25 to 100 kW,136,6547
2015,1,100 kW to 5 MW,,688
2015,1,5 MW to 30 MW,,0
2015,1,More than 30 MW,,0
2015,2,Less than 2.5 kW,2239,3790
2015,2,2.5 to 4.5 kW,4767,15659
2015,2,4.5 to 6.5 kW,4892,25450
2015,2,6.5 to 9.5 kW,350,2626
2015,2,9.5 to 14 kW,290,3048
2015,2,14 to 25 kW,165,2908
2015,2,25 to 100 kW,173,7642
2015,2,100 kW to 5 MW,,725
2015,2,5 MW to 30 MW,,0
2015,2,More than 30 MW,,0
2015,3,Less than 2.5 kW,2295,3860
2015,3,2.5 to 4.5 kW,4853,15900
2015,3,4.5 to 6.5 kW,5019,26255
2015,3,6.5 to 9.5 kW,391,2917
2015,3,9.5 to 14 kW,275,2883
2015,3,14 to 25 kW,168,2993
2015,3,25 to 100 kW,164,7283
2015,3,100 kW to 5 MW,,1687
2015,3,5 MW to 30 MW,,0
2015,3,More than 30 MW,,102000
2015,4,Less than 2.5 kW,1909,3235
2015,4,2.5 to 4.5 kW,4066,13332
2015,4,4.5 to 6.5 kW,4241,22181
2015,4,6.5 to 9.5 kW,326,2414
2015,4,9.5 to 14 kW,252,2641
2015,4,14 to 25 kW,157,2843
2015,4,25 to 100 kW,121,4829
2015,4,100 kW to 5 MW,,2371
2015,4,5 MW to 30 MW,,0
2015,4,More than 30 MW,,0
2015,5,Less than 2.5 kW,2013,3396
2015,5,2.5 to 4.5 kW,4072,13390
2015,5,4.5 to 6.5 kW,4545,23781
2015,5,6.5 to 9.5 kW,381,2805
2015,5,9.5 to 14 kW,288,3029
2015,5,14 to 25 kW,155,2841
2015,5,25 to 100 kW,173,7608
2015,5,100 kW to 5 MW,,3055
2015,5,5 MW to 30 MW,,0
2015,5,More than 30 MW,,0
2015,6,Less than 2.5 kW,1853,3179
2015,6,2.5 to 4.5 kW,4046,13444
2015,6,4.5 to 6.5 kW,4817,25319
2015,6,6.5 to 9.5 kW,388,2872
2015,6,9.5 to 14 kW,295,3142
2015,6,14 to 25 kW,205,3718
2015,6,25 to 100 kW,183,7731
2015,6,100 kW to 5 MW,,1000
2015,6,5 MW to 30 MW,,0
2015,6,More than 30 MW,,0
2015,7,Less than 2.5 kW,2011,3489
2015,7,2.5 to 4.5 kW,4306,14365
2015,7,4.5 to 6.5 kW,5649,29754
2015,7,6.5 to 9.5 kW,434,3197
2015,7,9.5 to 14 kW,341,3602
2015,7,14 to 25 kW,190,3400
2015,7,25 to 100 kW,178,7552
2015,7,100 kW to 5 MW,,1250
2015,7,5 MW to 30 MW,,0
2015,7,More than 30 MW,,53000
2015,8,Less than 2.5 kW,1574,2766
2015,8,2.5 to 4.5 kW,3954,13256
2015,8,4.5 to 6.5 kW,5116,26902
2015,8,6.5 to 9.5 kW,380,2809
2015,8,9.5 to 14 kW,272,2883
2015,8,14 to 25 kW,151,2688
2015,8,25 to 100 kW,174,7696
2015,8,100 kW to 5 MW,,4110
2015,8,5 MW to 30 MW,,0
2015,8,More than 30 MW,,0
2015,9,Less than 2.5 kW,1641,2860
2015,9,2.5 to 4.5 kW,3948,13209
2015,9,4.5 to 6.5 kW,5162,27282
2015,9,6.5 to 9.5 kW,401,2959
2015,9,9.5 to 14 kW,283,2981
2015,9,14 to 25 kW,188,3351
2015,9,25 to 100 kW,154,6968
2015,9,100 kW to 5 MW,,2806
2015,9,5 MW to 30 MW,,0
2015,9,More than 30 MW,,0
2015,10,Less than 2.5 kW,1586,2772
2015,10,2.5 to 4.5 kW,3809,12779
2015,10,4.5 to 6.5 kW,5072,26847
2015,10,6.5 to 9.5 kW,401,2965
2015,10,9.5 to 14 kW,276,2903
2015,10,14 to 25 kW,146,2604
2015,10,25 to 100 kW,191,9250
2015,10,100 kW to 5 MW,,2071
2015,10,5 MW to 30 MW,,0
2015,10,More than 30 MW,,0
2015,11,Less than 2.5 kW,1502,2599
2015,11,2.5 to 4.5 kW,3866,12911
2015,11,4.5 to 6.5 kW,4798,25377
2015,11,6.5 to 9.5 kW,417,3085
2015,11,9.5 to 14 kW,303,3239
2015,11,14 to 25 kW,171,3055
2015,11,25 to 100 kW,179,7366
2015,11,100 kW to 5 MW,,5895
2015,11,5 MW to 30 MW,,0
2015,11,More than 30 MW,,0
2015,12,Less than 2.5 kW,1272,2230
2015,12,2.5 to 4.5 kW,3443,11593
2015,12,4.5 to 6.5 kW,4508,23905
2015,12,6.5 to 9.5 kW,382,2833
2015,12,9.5 to 14 kW,332,3514
2015,12,14 to 25 kW,178,3203
2015,12,25 to 100 kW,182,8820
2015,12,100 kW to 5 MW,,3848
2015,12,5 MW to 30 MW,,0
2015,12,More than 30 MW,,0
2016,1,Less than 2.5 kW,1114,1979
2016,1,2.5 to 4.5 kW,2663,8921
2016,1,4.5 to 6.5 kW,3705,19713
2016,1,6.5 to 9.5 kW,326,2359
2016,1,9.5 to 14 kW,206,2203
2016,1,14 to 25 kW,102,1857
2016,1,25 to 100 kW,97,4678
2016,1,100 kW to 5 MW,,894
2016,1,5 MW to 30 MW,,0
2016,1,More than 30 MW,,0
2016,2,Less than 2.5 kW,1512,2669
2016,2,2.5 to 4.5 kW,3554,11839
2016,2,4.5 to 6.5 kW,4897,26026
2016,2,6.5 to 9.5 kW,423,3079
2016,2,9.5 to 14 kW,268,2828
2016,2,14 to 25 kW,148,2733
2016,2,25 to 100 kW,163,7361
2016,2,100 kW to 5 MW,,1164
2016,2,5 MW to 30 MW,,0
2016,2,More than 30 MW,,56000
2016,3,Less than 2.5 kW,1439,2491
2016,3,2.5 to 4.5 kW,3512,11848
2016,3,4.5 to 6.5 kW,4723,25194
2016,3,6.5 to 9.5 kW,418,3038
2016,3,9.5 to 14 kW,261,2780
2016,3,14 to 25 kW,137,2453
2016,3,25 to 100 kW,156,7290
2016,3,100 kW to 5 MW,,2107
2016,3,5 MW to 30 MW,,0
2016,3,More than 30 MW,,0
2016,4,Less than 2.5 kW,1397,2452
2016,4,2.5 to 4.5 kW,3353,11219
2016,4,4.5 to 6.5 kW,4438,23663
2016,4,6.5 to 9.5 kW,484,3522
2016,4,9.5 to 14 kW,292,3106
2016,4,14 to 25 kW,154,2805
2016,4,25 to 100 kW,171,8808
2016,4,100 kW to 5 MW,,2140
2016,4,5 MW to 30 MW,,10560
2016,4,More than 30 MW,,0
2016,5,Less than 2.5 kW,1357,2385
2016,5,2.5 to 4.5 kW,3429,11513
2016,5,4.5 to 6.5 kW,4710,25091
2016,5,6.5 to 9.5 kW,542,3916
2016,5,9.5 to 14 kW,292,3134
2016,5,14 to 25 kW,175,3212
2016,5,25 to 100 kW,186,9174
2016,5,100 kW to 5 MW,,1210
2016,5,5 MW to 30 MW,,0
2016,5,More than 30 MW,,0
2016,6,Less than 2.5 kW,1240,2166
2016,6,2.5 to 4.5 kW,3191,10716
2016,6,4.5 to 6.5 kW,4398,23492
2016,6,6.5 to 9.5 kW,498,3603
2016,6,9.5 to 14 kW,333,3579
2016,6,14 to 25 kW,204,3714
2016,6,25 to 100 kW,201,9340
2016,6,100 kW to 5 MW,,7169
2016,6,5 MW to 30 MW,,0
2016,6,More than 30 MW,,0
2016,7,Less than 2.5 kW,1296,2264
2016,7,2.5 to 4.5 kW,3232,10894
2016,7,4.5 to 6.5 kW,4373,23424
2016,7,6.5 to 9.5 kW,517,3727
2016,7,9.5 to 14 kW,346,3756
2016,7,14 to 25 kW,181,3369
2016,7,25 to 100 kW,188,9340
2016,7,100 kW to 5 MW,,1449
2016,7,5 MW to 30 MW,,0
2016,7,More than 30 MW,,0
2016,8,Less than 2.5 kW,1472,2566
2016,8,2.5 to 4.5 kW,3588,12189
2016,8,4.5 to 6.5 kW,5057,27127
2016,8,6.5 to 9.5 kW,560,4050
2016,8,9.5 to 14 kW,361,3843
2016,8,14 to 25 kW,222,3993
2016,8,25 to 100 kW,203,9650
2016,8,100 kW to 5 MW,,2775
2016,8,5 MW to 30 MW,,0
2016,8,More than 30 MW,,0
2016,9,Less than 2.5 kW,1229,2143
2016,9,2.5 to 4.5 kW,3452,11740
2016,9,4.5 to 6.5 kW,5207,28052
2016,9,6.5 to 9.5 kW,569,4104
2016,9,9.5 to 14 kW,397,4290
2016,9,14 to 25 kW,216,3920
2016,9,25 to 100 kW,242,11347
2016,9,100 kW to 5 MW,,3190
2016,9,5 MW to 30 MW,,0
2016,9,More than 30 MW,,0
2016,10,Less than 2.5 kW,1300,2289
2016,10,2.5 to 4.5 kW,3170,10705
2016,10,4.5 to 6.5 kW,5181,27976
2016,10,6.5 to 9.5 kW,603,4294
2016,10,9.5 to 14 kW,387,4141
2016,10,14 to 25 kW,184,3365
2016,10,25 to 100 kW,234,11379
2016,10,100 kW to 5 MW,,1954
2016,10,5 MW to 30 MW,,0
2016,10,More than 30 MW,,0
2016,11,Less than 2.5 kW,1371,2479
2016,11,2.5 to 4.5 kW,4098,13980
2016,11,4.5 to 6.5 kW,6330,34408
2016,11,6.5 to 9.5 kW,771,5479
2016,11,9.5 to 14 kW,417,4496
2016,11,14 to 25 kW,228,4153
2016,11,25 to 100 kW,220,10344
2016,11,100 kW to 5 MW,,3304
2016,11,5 MW to 30 MW,,0
2016,11,More than 30 MW,,0
2016,12,Less than 2.5 kW,1281,2334
2016,12,2.5 to 4.5 kW,3937,13496
2016,12,4.5 to 6.5 kW,6993,38332
2016,12,6.5 to 9.5 kW,881,6306
2016,12,9.5 to 14 kW,575,6205
2016,12,14 to 25 kW,309,5589
2016,12,25 to 100 kW,461,24693
2016,12,100 kW to 5 MW,,3004
2016,12,5 MW to 30 MW,,23988
2016,12,More than 30 MW,,0
2017,1,Less than 2.5 kW,1066,1947
2017,1,2.5 to 4.5 kW,3056,10483
2017,1,4.5 to 6.5 kW,4936,27144
2017,1,6.5 to 9.5 kW,578,4105
2017,1,9.5 to 14 kW,262,2809
2017,1,14 to 25 kW,121,2126
2017,1,25 to 100 kW,110,5309
2017,1,100 kW to 5 MW,,2487
2017,1,5 MW to 30 MW,,0
2017,1,More than 30 MW,,0
2017,2,Less than 2.5 kW,1529,2729
2017,2,2.5 to 4.5 kW,3739,12851
2017,2,4.5 to 6.5 kW,6272,34734
2017,2,6.5 to 9.5 kW,677,4848
2017,2,9.5 to 14 kW,408,4406
2017,2,14 to 25 kW,184,3355
2017,2,25 to 100 kW,185,8182
2017,2,100 kW to 5 MW,,1912
2017,2,5 MW to 30 MW,,0
2017,2,More than 30 MW,,0
2017,3,Less than 2.5 kW,1650,2944
2017,3,2.5 to 4.5 kW,3961,13579
2017,3,4.5 to 6.5 kW,6893,38230
2017,3,6.5 to 9.5 kW,768,5535
2017,3,9.5 to 14 kW,489,5304
2017,3,14 to 25 kW,219,4000
2017,3,25 to 100 kW,261,12755
2017,3,100 kW to 5 MW,,3154
2017,3,5 MW to 30 MW,,25000
2017,3,More than 30 MW,,0
2017,4,Less than 2.5 kW,1178,2100
2017,4,2.5 to 4.5 kW,3121,10738
2017,4,4.5 to 6.5 kW,5836,32330
2017,4,6.5 to 9.5 kW,720,5140
2017,4,9.5 to 14 kW,383,4106
2017,4,14 to 25 kW,178,3254
2017,4,25 to 100 kW,241,11399
2017,4,100 kW to 5 MW,,1252
2017,4,5 MW to 30 MW,,0
2017,4,More than 30 MW,,0
2017,5,Less than 2.5 kW,1429,2603
2017,5,2.5 to 4.5 kW,3878,13420
2017,5,4.5 to 6.5 kW,7185,39902
2017,5,6.5 to 9.5 kW,983,7028
2017,5,9.5 to 14 kW,576,6279
2017,5,14 to 25 kW,315,5802
2017,5,25 to 100 kW,319,16523
2017,5,100 kW to 5 MW,,6263
2017,5,5 MW to 30 MW,,0
2017,5,More than 30 MW,,0
2017,6,Less than 2.5 kW,1309,2395
2017,6,2.5 to 4.5 kW,3537,12331
2017,6,4.5 to 6.5 kW,7018,39525
2017,6,6.5 to 9.5 kW,909,6644
2017,6,9.5 to 14 kW,588,6411
2017,6,14 to 25 kW,324,5915
2017,6,25 to 100 kW,376,18261
2017,6,100 kW to 5 MW,,5249
2017,6,5 MW to 30 MW,,0
2017,6,More than 30 MW,,0
2017,7,Less than 2.5 kW,1290,2330
2017,7,2.5 to 4.5 kW,3559,12294
2017,7,4.5 to 6.5 kW,7636,43171
2017,7,6.5 to 9.5 kW,913,6628
2017,7,9.5 to 14 kW,596,6465
2017,7,14 to 25 kW,295,5291
2017,7,25 to 100 kW,325,16537
2017,7,100 kW to 5 MW,,2205
2017,7,5 MW to 30 MW,,15000
2017,7,More than 30 MW,,0
2017,8,Less than 2.5 kW,1410,2605
2017,8,2.5 to 4.5 kW,3683,12787
2017,8,4.5 to 6.5 kW,8212,46492
2017,8,6.5 to 9.5 kW,1235,8928
2017,8,9.5 to 14 kW,700,7661
2017,8,14 to 25 kW,286,5121
2017,8,25 to 100 kW,326,15481
2017,8,100 kW to 5 MW,,2882
2017,8,5 MW to 30 MW,,0
2017,8,More than 30 MW,,0
2017,9,Less than 2.5 kW,1157,2138
2017,9,2.5 to 4.5 kW,3315,11523
2017,9,4.5 to 6.5 kW,7612,43058
2017,9,6.5 to 9.5 kW,1268,9220
2017,9,9.5 to 14 kW,712,7821
2017,9,14 to 25 kW,290,5299
2017,9,25 to 100 kW,326,16143
2017,9,100 kW to 5 MW,,3900
2017,9,5 MW to 30 MW,,0
2017,9,More than 30 MW,,0
2017,10,Less than 2.5 kW,1077,1997
2017,10,2.5 to 4.5 kW,3438,11999
2017,10,4.5 to 6.5 kW,8380,47365
2017,10,6.5 to 9.5 kW,1521,10992
2017,10,9.5 to 14 kW,785,8541
2017,10,14 to 25 kW,305,5503
2017,10,25 to 100 kW,374,19414
2017,10,100 kW to 5 MW,,4386
2017,10,5 MW to 30 MW,,0
2017,10,More than 30 MW,,0
2017,11,Less than 2.5 kW,1167,2136
2017,11,2.5 to 4.5 kW,3709,12979
2017,11,4.5 to 6.5 kW,9652,54959
2017,11,6.5 to 9.5 kW,1953,14002
2017,11,9.5 to 14 kW,1019,11091
2017,11,14 to 25 kW,416,7440
2017,11,25 to 100 kW,442,22896
2017,11,100 kW to 5 MW,,14474
2017,11,5 MW to 30 MW,,13054
2017,11,More than 30 MW,,0
2017,12,Less than 2.5 kW,1009,1888
2017,12,2.5 to 4.5 kW,3408,11848
2017,12,4.5 to 6.5 kW,8987,51220
2017,12,6.5 to 9.5 kW,2137,15310
2017,12,9.5 to 14 kW,1082,11821
2017,12,14 to 25 kW,481,8685
2017,12,25 to 100 kW,703,40616
2017,12,100 kW to 5 MW,,4258
2017,12,5 MW to 30 MW,,10898
2017,12,More than 30 MW,,129091
2018,1,Less than 2.5 kW,866,1594
2018,1,2.5 to 4.5 kW,3056,10650
2018,1,4.5 to 6.5 kW,7465,42609
2018,1,6.5 to 9.5 kW,1786,12663
2018,1,9.5 to 14 kW,702,7672
2018,1,14 to 25 kW,234,4114
2018,1,25 to 100 kW,213,10659
2018,1,100 kW to 5 MW,,4093
2018,1,5 MW to 30 MW,,20162
2018,1,More than 30 MW,,34942
2018,2,Less than 2.5 kW,951,1808
2018,2,2.5 to 4.5 kW,3483,12267
2018,2,4.5 to 6.5 kW,8609,49025
2018,2,6.5 to 9.5 kW,2021,14329
2018,2,9.5 to 14 kW,921,10030
2018,2,14 to 25 kW,328,5896
2018,2,25 to 100 kW,315,16146
2018,2,100 kW to 5 MW,,11834
2018,2,5 MW to 30 MW,,0
2018,2,More than 30 MW,,0
2018,3,Less than 2.5 kW,1050,2031
2018,3,2.5 to 4.5 kW,3521,12337
2018,3,4.5 to 6.5 kW,8842,50363
2018,3,6.5 to 9.5 kW,2493,17518
2018,3,9.5 to 14 kW,1039,11380
2018,3,14 to 25 kW,381,6812
2018,3,25 to 100 kW,390,19662
2018,3,100 kW to 5 MW,,6524
2018,3,5 MW to 30 MW,,17344
2018,3,More than 30 MW,,339284
2018,4,Less than 2.5 kW,936,1772
2018,4,2.5 to 4.5 kW,3137,11046
2018,4,4.5 to 6.5 kW,7805,44590
2018,4,6.5 to 9.5 kW,2345,16520
2018,4,9.5 to 14 kW,900,9907
2018,4,14 to 25 kW,377,6795
2018,4,25 to 100 kW,379,19094
2018,4,100 kW to 5 MW,,10212
2018,4,5 MW to 30 MW,,16519
2018,4,More than 30 MW,,0
2018,5,Less than 2.5 kW,1101,2058
2018,5,2.5 to 4.5 kW,3494,12218
2018,5,4.5 to 6.5 kW,8341,47688
2018,5,6.5 to 9.5 kW,3150,22125
2018,5,9.5 to 14 kW,1190,12998
2018,5,14 to 25 kW,451,8094
2018,5,25 to 100 kW,494,26080
2018,5,100 kW to 5 MW,,11998
2018,5,5 MW to 30 MW,,37254
2018,5,More than 30 MW,,193702
2018,6,Less than 2.5 kW,840,1576
2018,6,2.5 to 4.5 kW,2783,9708
2018,6,4.5 to 6.5 kW,7126,40810
2018,6,6.5 to 9.5 kW,3583,24886
2018,6,9.5 to 14 kW,1105,12174
2018,6,14 to 25 kW,481,8637
2018,6,25 to 100 kW,506,26483
2018,6,100 kW to 5 MW,,9439
2018,6,5 MW to 30 MW,,5962
2018,6,More than 30 MW,,0
2018,7,Less than 2.5 kW,863,1629
2018,7,2.5 to 4.5 kW,2883,10166
2018,7,4.5 to 6.5 kW,7589,43579
