year,month,size,installations,capacity
2008,5,5 MW to 30 MW,,0
2008,5,More than 30 MW,,0
2008,6,Less than 2.5 kW,,1022
2008,6,2.5 to 4.5 kW,,171
2008,6,4.5 to 6.5 kW,,49
2008,6,6.5 to 9.5 kW,,9
2008,6,9.5 to 14 kW,,47
2008,6,14 to 25 kW,,15
2008,6,25 to 100 kW,,0
2008,6,100 kW to 5 MW,,0
2008,6,5 MW to 30 MW,,0
2008,6,More than 30 MW,,0
2008,7,Less than 2.5 kW,,1221
2008,7,2.5 to 4.5 kW,,227
2008,7,4.5 to 6.5 kW,,80
2008,7,6.5 to 9.5 kW,,16
2008,7,9.5 to 14 kW,,34
2008,7,14 to 25 kW,,49
2008,7,25 to 100 kW,,0
2008,7,100 kW to 5 MW,,0
2008,7,5 MW to 30 MW,,0
2008,7,More than 30 MW,,0
2008,8,Less than 2.5 kW,,1286
2008,8,2.5 to 4.5 kW,,212
2008,8,4.5 to 6.5 kW,,57
2008,8,6.5 to 9.5 kW,,22
2008,8,9.5 to 14 kW,,11
2008,8,14 to 25 kW,,17
2008,8,25 to 100 kW,,0
2008,8,100 kW to 5 MW,,0
2008,8,5 MW to 30 MW,,0
2008,8,More than 30 MW,,0
2008,9,Less than 2.5 kW,,1439
2008,9,2.5 to 4.5 kW,,206
2008,9,4.5 to 6.5 kW,,136
2008,9,6.5 to 9.5 kW,,90
2008,9,9.5 to 14 kW,,10
2008,9,14 to 25 kW,,0
2008,9,25 to 100 kW,,0
2008,9,100 kW to 5 MW,,0
2008,9,5 MW to 30 MW,,0
2008,9,More than 30 MW,,0
2008,10,Less than 2.5 kW,,1992
2008,10,2.5 to 4.5 kW,,324
2008,10,4.5 to 6.5 kW,,100
2008,10,6.5 to 9.5 kW,,17
2008,10,9.5 to 14 kW,,10
2008,10,14 to 25 kW,,16
2008,10,25 to 100 kW,,30
2008,10,100 kW to 5 MW,,0
2008,10,5 MW to 30 MW,,0
2008,10,More than 30 MW,,0
2008,11,Less than 2.5 kW,,1995
2008,11,2.5 to 4.5 kW,,276
2008,11,4.5 to 6.5 kW,,62
2008,11,6.5 to 9.5 kW,,8
2008,11,9.5 to 14 kW,,22
2008,11,14 to 25 kW,,34
2008,11,25 to 100 kW,,0
2008,11,100 kW to 5 MW,,0
2008,11,5 MW to 30 MW,,0
2008,11,More than 30 MW,,0
2008,12,Less than 2.5 kW,,2314
2008,12,2.5 to 4.5 kW,,380
2008,12,4.5 to 6.5 kW,,122
2008,12,6.5 to 9.5 kW,,32
2008,12,9.5 to 14 kW,,48
2008,12,14 to 25 kW,,20
2008,12,25 to 100 kW,,58
2008,12,100 kW to 5 MW,,0
2008,12,5 MW to 30 MW,,0
2008,12,More than 30 MW,,0
2009,1,Less than 2.5 kW,,2398
2009,1,2.5 to 4.5 kW,,227
