year,month,state,capacity
2019,9,aus,197352.0
2019,10,aus,487431.0
2019,11,aus,585939.0
2019,12,aus,920813.0
2020,1,aus,201244.0
2020,2,aus,232358.0
2020,3,aus,374400.0
2020,4,aus,339319.0
2020,5,aus,227945.0
2020,6,aus,505119.0
2020,7,aus,318514.0
2020,8,aus,237391.0
2020,9,aus,531248.0
2020,10,aus,314311.0
2020,11,aus,629479.0
2020,12,aus,779345.0
2021,1,aus,239564.0
2021,2,aus,432832.0
2021,3,aus,352805.0
2021,4,aus,288684.0
2021,5,aus,356161.0
2021,6,aus,428792.0
2021,7,aus,334559.0
2021,8,aus,475102.0
2021,9,aus,275928.0
2021,10,aus,382791.0
2021,11,aus,903340.0
2021,12,aus,526687.0
2022,1,aus,136819.0
2022,2,aus,206310.0
2022,3,aus,364072.0
2022,4,aus,379342.0
2022,5,aus,168058.0
2022,6,aus,117175.0
2007,1,nsw+act,26.0
2007,2,nsw+act,43.0
2007,3,nsw+act,44.0
2007,4,nsw+act,45.0
2007,5,nsw+act,54.0
2007,6,nsw+act,64.0
2007,7,nsw+act,123.0
2007,8,nsw+act,142.0
2007,9,nsw+act,187.0
2007,10,nsw+act,202.0
2007,11,nsw+act,191.0
2007,12,nsw+act,241.0
2008,1,nsw+act,288.0
2008,2,nsw+act,261.0
2008,3,nsw+act,291.0
2008,4,nsw+act,303.0
2008,5,nsw+act,337.0
2008,6,nsw+act,281.0
2008,7,nsw+act,379.0
2008,8,nsw+act,383.0
2008,9,nsw+act,445.0
2008,10,nsw+act,503.0
2008,11,nsw+act,482.0
2008,12,nsw+act,716.0
2009,1,nsw+act,617.0
2009,2,nsw+act,864.0
2009,3,nsw+act,1100.0
2009,4,nsw+act,1203.0
2009,5,nsw+act,1211.0
2009,6,nsw+act,1241.0
2009,7,nsw+act,1422.0
2009,8,nsw+act,1881.0
2009,9,nsw+act,2337.0
2009,10,nsw+act,2570.0
2009,11,nsw+act,3025.0
2009,12,nsw+act,2951.0
2010,1,nsw+act,2783.0
2010,2,nsw+act,4160.0
2010,3,nsw+act,6425.0
2010,4,nsw+act,7454.0
2010,5,nsw+act,9801.0
2010,6,nsw+act,14058.0
2010,7,nsw+act,15173.0
2010,8,nsw+act,17056.0
2010,9,nsw+act,19014.0
2010,10,nsw+act,21409.0
2010,11,nsw+act,24495.0
2010,12,nsw+act,16832.0
2011,1,nsw+act,28157.0
2011,2,nsw+act,27233.0
2011,3,nsw+act,30271.0
2011,4,nsw+act,25380.0
2011,5,nsw+act,31534.0
2011,6,nsw+act,37421.0
2011,7,nsw+act,6037.0
2011,8,nsw+act,5181.0
2011,9,nsw+act,4760.0
2011,10,nsw+act,5169.0
2011,11,nsw+act,6322.0
2011,12,nsw+act,5372.0
2012,1,nsw+act,4386.0
2012,2,nsw+act,6134.0
2012,3,nsw+act,8104.0
2012,4,nsw+act,8712.0
2012,5,nsw+act,17914.0
2012,6,nsw+act,31559.0
2012,7,nsw+act,8470.0
2012,8,nsw+act,9446.0
2012,9,nsw+act,9493.0
2012,10,nsw+act,11202.0
2012,11,nsw+act,13265.0
2012,12,nsw+act,21393.0
2013,1,nsw+act,10164.0
2013,2,nsw+act,11908.0
2013,3,nsw+act,11571.0
2013,4,nsw+act,10522.0
2013,5,nsw+act,12428.0
2013,6,nsw+act,10490.0
2013,7,nsw+act,12945.0
2013,8,nsw+act,13856.0
2013,9,nsw+act,13973.0
2013,10,nsw+act,13466.0
2013,11,nsw+act,25677.0
2013,12,nsw+act,14961.0
2014,1,nsw+act,9511.0
2014,2,nsw+act,11102.0
2014,3,nsw+act,11974.0
2014,4,nsw+act,12304.0
2014,5,nsw+act,36549.0
2014,6,nsw+act,14179.0
2014,7,nsw+act,15904.0
2014,8,nsw+act,15468.0
2014,9,nsw+act,18162.0
2014,10,nsw+act,19011.0
2014,11,nsw+act,17942.0
2014,12,nsw+act,16770.0
2015,1,nsw+act,13837.0
2015,2,nsw+act,17902.0
2015,3,nsw+act,119949.0
2015,4,nsw+act,13005.0
2015,5,nsw+act,15771.0
2015,6,nsw+act,15922.0
2015,7,nsw+act,69874.0
2015,8,nsw+act,15282.0
2015,9,nsw+act,15846.0
2015,10,nsw+act,15195.0
2015,11,nsw+act,15218.0
2015,12,nsw+act,15900.0
2016,1,nsw+act,9680.0
2016,2,nsw+act,69744.0
2016,3,nsw+act,13695.0
2016,4,nsw+act,13557.0
2016,5,nsw+act,14612.0
2016,6,nsw+act,14208.0
2016,7,nsw+act,13439.0
2016,8,nsw+act,15172.0
2016,9,nsw+act,17618.0
2016,10,nsw+act,14714.0
2016,11,nsw+act,19453.0
2016,12,nsw+act,45982.0
2017,1,nsw+act,12570.0
2017,2,nsw+act,17133.0
2017,3,nsw+act,20316.0
2017,4,nsw+act,16148.0
2017,5,nsw+act,27037.0
2017,6,nsw+act,23761.0
2017,7,nsw+act,24930.0
2017,8,nsw+act,24283.0
2017,9,nsw+act,23821.0
2017,10,nsw+act,27971.0
2017,11,nsw+act,35041.0
2017,12,nsw+act,101587.0
2018,1,nsw+act,59457.0
2018,2,nsw+act,30871.0
