"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"70420","Barkly (R)","NT","2968","2858","268","7.8","1120","1130","718","222","44","2"
"70540","Belyuen (S)","NT","70","58","6","9.4","35","35","0","5","1","0"
"70620","Central Desert (R)","NT","2671","1244","66","3.3","209","560","1902","41","19","6"
"70700","Coomalie (S)","NT","26215","687","147","18.2","659","509","25047","125","20","2"
"71000","Darwin (C)","NT","62973","22699","7093","29.5","37537","17108","8328","6698","386","9"
"71300","East Arnhem (R)","NT","5290","3108","286","7.6","1498","1549","2243","235","46","5"
"72200","Katherine (T)","NT","41594","3767","895","21.6","4517","3046","34031","813","80","2"
"72300","Litchfield (M)","NT","35450","8574","2722","29.4","16330","6138","12982","2517","202","3"
"72330","MacDonnell (R)","NT","2508","2062","102","3.3","355","798","1355","68","27","7"
"72800","Palmerston (C)","NT","32729","13295","4778","35.1","26320","3927","2482","4661","112","5"
"73600","Roper Gulf (R)","NT","3112","2563","192","5.5","784","1535","793","140","48","4"
"74050","Tiwi Islands (R)","NT","2148","863","97","9.4","526","522","1100","81","15","1"
"74550","Victoria Daly (R)","NT","2898","1205","101","6.5","453","730","1715","78","20","3"
"74560","Wagait (S)","NT","196","161","18","9.4","98","98","0","15","3","0"
"74660","West Arnhem (R)","NT","12968","2393","218","7.3","1117","1239","10612","174","39","5"
"74680","West Daly (R)","NT","1357","1117","125","9.4","681","676","0","105","20","0"
"79399","Unincorporated NT","NT","4911","2523","237","7.7","1183","1420","2308","195","39","3"
"89399","Unincorporated ACT","ACT","311621","149102","41766","24.7","174443","81955","55223","36896","4843","27"
"99399","Unincorp. Other Territories","OT","3095","3147","758","22.6","2210","885","0","712","46","0"
