"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"22910","Hepburn (S)","VIC","15416","9258","3026","30.8","12017","3399","0","2849","177","0"
"22980","Hindmarsh (S)","VIC","5000","2942","989","31.8","3676","1164","160","936","52","1"
"23110","Hobsons Bay (C)","VIC","36805","37088","6886","17.6","24621","10564","1620","6535","347","4"
"23190","Horsham (RC)","VIC","16148","9169","2679","26.9","11008","5140","0","2466","213","0"
"23270","Hume (C)","VIC","180336","76143","25167","30.6","115902","40602","23832","23286","1861","20"
"23350","Indigo (S)","VIC","20347","7090","3820","50.0","15196","5151","0","3546","274","0"
"23430","Kingston (C) (Vic.)","VIC","72675","58940","12094","19.1","47706","22451","2518","11272","816","6"
"23670","Knox (C)","VIC","87616","61635","16155","25.0","64506","18327","4783","15424","721","10"
"23810","Latrobe (C) (Vic.)","VIC","52932","35013","9360","24.9","36238","15368","1326","8723","632","5"
"23940","Loddon (S)","VIC","10386","3891","1558","37.1","5832","3064","1490","1442","113","3"
"24130","Macedon Ranges (S)","VIC","42930","20573","7364","32.6","30025","11094","1811","6714","648","2"
"24210","Manningham (C)","VIC","48153","43858","8890","19.0","36982","9413","1758","8316","569","5"
"24250","Mansfield (S)","VIC","12269","6032","1949","28.1","7940","4329","0","1696","253","0"
"24330","Maribyrnong (C)","VIC","24986","30309","4461","13.8","16291","8294","401","4175","285","1"
"24410","Maroondah (C)","VIC","51183","47314","9204","18.3","35760","13794","1629","8663","534","7"
"24600","Melbourne (C)","VIC","15600","11623","1342","9.4","3909","8570","3121","1096","232","14"
"24650","Melton (C)","VIC","105113","56842","19445","33.0","89553","13426","2134","18730","708","7"
"24780","Mildura (RC)","VIC","539189","24225","7481","26.3","31580","25048","482561","6362","1106","13"
"24850","Mitchell (S)","VIC","35320","18712","6534","32.8","27824","7168","328","6136","396","2"
"24900","Moira (S)","VIC","211370","13830","6335","41.1","24797","15671","170902","5683","639","13"
"24970","Monash (C)","VIC","76849","66590","13828","19.6","55350","16138","5361","13077","743","8"
"25060","Moonee Valley (C)","VIC","33498","42998","6456","14.0","24158","9098","242","6033","422","1"
"25150","Moorabool (S)","VIC","24928","14776","4743","30.2","19591","5046","291","4457","285","1"
"25250","Moreland (C)","VIC","46391","65621","9335","13.5","33838","11219","1334","8852","479","4"
"25340","Mornington Peninsula (S)","VIC","113866","91823","20922","20.9","81850","30504","1512","19181","1736","5"
"25430","Mount Alexander (S)","VIC","19388","10133","4177","39.4","15294","3191","903","3994","179","4"
"25490","Moyne (S)","VIC","13711","8568","2030","21.2","8182","5529","0","1819","211","0"
"25620","Murrindindi (S)","VIC","15441","7634","2849","35.0","11399","4042","0","2675","174","0"
"25710","Nillumbik (S)","VIC","31843","22120","5913","24.5","23994","7516","333","5425","486","2"
"25810","Northern Grampians (S)","VIC","11174","5854","1767","27.9","6904","3318","952","1633","132","2"
"25900","Port Phillip (C)","VIC","14391","19631","2370","11.0","8324","5661","406","2157","211","2"
"25990","Pyrenees (S)","VIC","7314","3618","1356","35.1","5592","1722","0","1270","86","0"
"26080","Queenscliffe (B)","VIC","3196","2491","678","26.2","2671","525","0","653","25","0"
"26170","South Gippsland (S)","VIC","30594","16595","5611","31.3","21128","9011","455","5198","411","2"
"26260","Southern Grampians (S)","VIC","9780","8082","1725","19.8","6920","2860","0","1597","128","0"
"26350","Stonnington (C)","VIC","17896","26851","3194","10.8","12351","5545","0","2899","295","0"
"26430","Strathbogie (S)","VIC","13610","6145","2440","37.3","9420","3992","198","2291","148","1"
"26490","Surf Coast (S)","VIC","30173","20539","5475","25.0","22976","6116","1081","5139","333","3"
"26610","Swan Hill (RC)","VIC","280736","8884","3092","28.1","11586","16069","253081","2500","577","15"
"26670","Towong (S)","VIC","8751","3078","1443","42.8","5833","2660","258","1317","125","1"
"26700","Wangaratta (RC)","VIC","29064","14476","5132","32.7","20409","8215","440","4731","399","2"
"26730","Warrnambool (C)","VIC","16016","16441","2683","15.2","10611","4904","501","2493","188","2"
"26810","Wellington (S)","VIC","40185","23174","6941","27.7","26140","13138","907","6409","530","2"
"26890","West Wimmera (S)","VIC","3299","2239","620","25.4","2361","938","0","568","52","0"
"26980","Whitehorse (C)","VIC","58856","64889","11700","17.2","45089","11827","1940","11145","552","3"
"27070","Whittlesea (C)","VIC","122990","86179","21815","24.1","96751","23090","3149","20768","1036","11"
"27170","Wodonga (C)","VIC","37830","19126","6159","29.7","26213","10056","1561","5679","473","7"
"27260","Wyndham (C)","VIC","204102","96108","35342","35.6","166052","29262","8788","34244","1074","24"
"27350","Yarra (C)","VIC","19359","23785","3076","12.0","10246","5593","3520","2858","212","6"
"27450","Yarra Ranges (S)","VIC","84677","62409","15473","23.1","60404","23002","1271","14412","1057","4"
"27630","Yarriambiack (S)","VIC","6066","3385","1153","31.7","4347","1719","0","1073","80","0"
"29399","Unincorporated Vic","VIC","1123","660","225","31.2","805","318","0","206","19","0"
"30250","Aurukun (S)","QLD","262","443","13","1.2","32","230","0","5","8","0"
"30300","Balonne (S)","QLD","5498","2109","743","29.1","2712","2786","0","613","130","0"
"30370","Banana (S)","QLD","12728","6726","2170","29.4","8701","4027","0","1980","190","0"
"30410","Barcaldine (R)","QLD","39044","1545","454","23.5","1618","1528","35898","362","89","3"
"30450","Barcoo (S)","QLD","261","173","34","16.2","125","136","0","28","6","0"
"30760","Blackall-Tambo (R)","QLD","1951","991","276","23.0","1006","945","0","228","48","0"
"30900","Boulia (S)","QLD","895","248","106","35.8","409","486","0","89","17","0"
"31000","Brisbane (C)","QLD","929707","371578","166899","41.2","646484","247092","36131","152925","13913","61"
"31750","Bulloo (S)","QLD","3182","166","123","37.2","313","2869","0","62","61","0"
"31820","Bundaberg (R)","QLD","187017","44867","21845","45.8","83627","24899","78491","20547","1289","9"
"31900","Burdekin (S)","QLD","287989","7690","3907","42.9","15139","14282","258568","3303","602","2"
"31950","Burke (S)","QLD","259","92","15","8.0","30","229","0","7","8","0"
"32080","Cairns (R)","QLD","163718","60966","24587","35.0","100846","56276","6596","21357","3217","13"
"32250","Carpentaria (S)","QLD","7147","1184","202","12.0","728","1459","4960","142","59","1"
"32260","Cassowary Coast (R)","QLD","30754","13856","4481","27.8","18192","12562","0","3859","622","0"
"32270","Central Highlands (R) (Qld)","QLD","242724","12204","3690","25.8","15263","10802","216659","3147","537","6"
"32310","Charters Towers (R)","QLD","9839","5773","1678","26.3","6811","3028","0","1518","160","0"
"32330","Cherbourg (S)","QLD","1051","539","175","29.6","683","368","0","160","15","0"
"32450","Cloncurry (S)","QLD","2543","1554","285","13.7","1061","1482","0","213","72","0"
"32500","Cook (S)","QLD","17265","2131","369","14.6","1434","1177","14654","311","56","2"
"32600","Croydon (S)","QLD","283","153","40","21.7","152","131","0","33","7","0"
"32750","Diamantina (S)","QLD","721","281","71","20.3","285","436","0","57","14","0"
"32770","Doomadgee (S)","QLD","1339","370","61","6.4","95","980","264","24","36","1"
"32810","Douglas (S)","QLD","14242","5913","2235","32.9","9272","4970","0","1943","292","0"
"33100","Etheridge (S)","QLD","63949","424","111","21.7","420","361","63168","92","18","1"
"33200","Flinders (S) (Qld)","QLD","41736","742","295","31.1","1165","1043","39528","230","63","2"
"33220","Fraser Coast (R)","QLD","221632","51476","25973","48.2","102669","21050","97913","24816","1150","7"
"33360","Gladstone (R)","QLD","62814","30229","11620","36.0","48658","13072","1084","10870","748","2"
"33430","Gold Coast (C)","QLD","566900","199220","96396","43.2","376547","164506","25847","86083","10278","35"
"33610","Goondiwindi (R)","QLD","10657","4834","1579","28.9","6148","3811","698","1396","182","1"
"33620","Gympie (R)","QLD","70580","25031","13651","50.7","53109","16334","1137","12680","969","2"
"33800","Hinchinbrook (S)","QLD","10114","5459","1946","33.1","7608","2506","0","1805","141","0"
"33830","Hope Vale (S)","QLD","682","530","100","16.3","396","286","0","86","14","0"
"33960","Ipswich (C)","QLD","217306","84440","40599","44.4","163767","47415","6124","37500","3086","13"
"33980","Isaac (R)","QLD","218498","10490","1497","12.3","6329","4196","207973","1286","207","4"
"34420","Kowanyama (S)","QLD","194","329","10","1.2","23","171","0","4","6","0"
"34530","Livingstone (S)","QLD","37631","17378","7443","40.2","30120","7337","174","6985","457","1"
"34570","Lockhart River (S)","QLD","148","250","7","1.2","18","130","0","3","4","0"
"34580","Lockyer Valley (R)","QLD","57937","16261","9572","52.9","36744","17465","3728","8606","964","2"
"34590","Logan (C)","QLD","368709","117948","65249","50.1","251883","105790","11036","59054","6178","17"
"34710","Longreach (R)","QLD","21681","2261","514","18.5","2036","2161","17484","418","94","2"
"34770","Mackay (R)","QLD","119678","54203","19222","32.1","82977","35516","1185","17390","1827","5"
"34800","McKinlay (S)","QLD","4123","421","114","18.6","388","603","3132","78","35","1"
"34830","Mapoon (S)","QLD","12","146","1","0.5","4","8","0","1","0","0"
"34860","Maranoa (R)","QLD","13844","6991","2571","32.6","8261","5583","0","2281","290","0"
"34880","Mareeba (S)","QLD","26110","10340","3793","31.5","14328","11782","0","3255","538","0"
"35010","Moreton Bay (R)","QLD","498955","177865","96122","50.2","381514","109232","8209","89222","6880","20"
"35250","Mornington (S)","QLD","245","399","13","1.5","34","211","0","6","7","0"
"35300","Mount Isa (C)","QLD","15840","7811","2158","23.3","7982","7658","200","1817","340","1"
"35600","Murweh (S)","QLD","4693","2222","659","26.1","2596","1339","758","580","78","1"
"35670","Napranum (S)","QLD","41","510","4","0.5","14","27","0","3","1","0"
"35740","Noosa (S)","QLD","75215","25240","13641","49.2","53182","21336","697","12413","1225","3"
"35760","North Burnett (R)","QLD","11593","5623","1939","31.5","6952","4641","0","1770","169","0"
"35780","Northern Peninsula Area (R)","QLD","468","1222","27","1.0","75","393","0","12","15","0"
"35790","Palm Island (S)","QLD","2960","1237","526","38.3","2150","810","0","474","52","0"
"35800","Paroo (S)","QLD","1899","846","336","36.4","1373","526","0","308","28","0"
"36070","Pormpuraaw (S)","QLD","155","262","8","1.2","19","136","0","3","5","0"
"36150","Quilpie (S)","QLD","1780","374","150","28.3","547","966","267","106","43","1"
"36250","Redland (C)","QLD","167068","60441","35266","54.7","131396","33692","1980","33044","2216","6"
"36300","Richmond (S)","QLD","1421","431","149","25.8","610","811","0","111","38","0"
"36370","Rockhampton (R)","QLD","71667","36631","12910","32.8","51327","17247","3093","12026","876","8"
"36510","Scenic Rim (R)","QLD","55606","15967","9847","54.7","37143","18463","0","8739","1108","0"
"36580","Somerset (R)","QLD","37552","10859","7027","58.8","27266","10286","0","6381","646","0"
"36630","South Burnett (R)","QLD","29529","14048","5824","39.1","22436","6584","509","5496","326","2"
"36660","Southern Downs (R)","QLD","119105","17114","7027","37.4","26820","13935","78350","6402","623","2"
"36720","Sunshine Coast (R)","QLD","388080","123471","72316","54.4","277759","85050","25271","67123","5176","17"
"36820","Tablelands (R)","QLD","24950","12478","4064","28.8","15401","9379","170","3594","469","1"
"36910","Toowoomba (R)","QLD","417171","73589","25692","31.8","97859","45036","274276","23379","2296","17"
"36950","Torres (S)","QLD","781","1092","64","4.0","214","567","0","43","21","0"
