year,month,size,count
2012,1,6.5 to 9.5 kW,73
2012,1,9.5 to 14 kW,97
2012,1,14 to 25 kW,13
2012,1,25 to 100 kW,22
2012,2,Less than 2.5 kW,11800
2012,2,2.5 to 4.5 kW,5422
2012,2,4.5 to 6.5 kW,2058
2012,2,6.5 to 9.5 kW,110
2012,2,9.5 to 14 kW,122
2012,2,14 to 25 kW,23
2012,2,25 to 100 kW,27
2012,3,Less than 2.5 kW,13987
2012,3,2.5 to 4.5 kW,6527
2012,3,4.5 to 6.5 kW,2779
2012,3,6.5 to 9.5 kW,146
2012,3,9.5 to 14 kW,144
2012,3,14 to 25 kW,26
2012,3,25 to 100 kW,23
2012,4,Less than 2.5 kW,15332
2012,4,2.5 to 4.5 kW,7515
2012,4,4.5 to 6.5 kW,3380
2012,4,6.5 to 9.5 kW,127
2012,4,9.5 to 14 kW,136
2012,4,14 to 25 kW,43
2012,4,25 to 100 kW,21
2012,5,Less than 2.5 kW,23135
2012,5,2.5 to 4.5 kW,13479
2012,5,4.5 to 6.5 kW,6246
2012,5,6.5 to 9.5 kW,296
2012,5,9.5 to 14 kW,215
2012,5,14 to 25 kW,60
2012,5,25 to 100 kW,47
2012,6,Less than 2.5 kW,27471
2012,6,2.5 to 4.5 kW,20015
2012,6,4.5 to 6.5 kW,10606
2012,6,6.5 to 9.5 kW,476
2012,6,9.5 to 14 kW,492
2012,6,14 to 25 kW,102
2012,6,25 to 100 kW,51
2012,7,Less than 2.5 kW,11366
2012,7,2.5 to 4.5 kW,9247
2012,7,4.5 to 6.5 kW,4754
2012,7,6.5 to 9.5 kW,163
2012,7,9.5 to 14 kW,147
2012,7,14 to 25 kW,70
2012,7,25 to 100 kW,31
2012,8,Less than 2.5 kW,11366
2012,8,2.5 to 4.5 kW,10119
2012,8,4.5 to 6.5 kW,6021
2012,8,6.5 to 9.5 kW,250
2012,8,9.5 to 14 kW,160
2012,8,14 to 25 kW,48
2012,8,25 to 100 kW,29
2012,9,Less than 2.5 kW,10089
2012,9,2.5 to 4.5 kW,10560
2012,9,4.5 to 6.5 kW,7103
2012,9,6.5 to 9.5 kW,298
2012,9,9.5 to 14 kW,227
2012,9,14 to 25 kW,100
2012,9,25 to 100 kW,45
2012,10,Less than 2.5 kW,9142
2012,10,2.5 to 4.5 kW,8002
2012,10,4.5 to 6.5 kW,4988
2012,10,6.5 to 9.5 kW,227
2012,10,9.5 to 14 kW,148
2012,10,14 to 25 kW,68
2012,10,25 to 100 kW,34
2012,11,Less than 2.5 kW,8890
2012,11,2.5 to 4.5 kW,7983
2012,11,4.5 to 6.5 kW,5107
2012,11,6.5 to 9.5 kW,249
2012,11,9.5 to 14 kW,170
2012,11,14 to 25 kW,60
2012,11,25 to 100 kW,47
2012,12,Less than 2.5 kW,10448
2012,12,2.5 to 4.5 kW,11360
2012,12,4.5 to 6.5 kW,7740
2012,12,6.5 to 9.5 kW,475
2012,12,9.5 to 14 kW,373
2012,12,14 to 25 kW,104
2012,12,25 to 100 kW,63
2013,1,Less than 2.5 kW,5518
2013,1,2.5 to 4.5 kW,5491
2013,1,4.5 to 6.5 kW,3514
2013,1,6.5 to 9.5 kW,186
2013,1,9.5 to 14 kW,187
2013,1,14 to 25 kW,64
2013,1,25 to 100 kW,44
2013,2,Less than 2.5 kW,5152
2013,2,2.5 to 4.5 kW,5748
2013,2,4.5 to 6.5 kW,3982
2013,2,6.5 to 9.5 kW,239
2013,2,9.5 to 14 kW,218
2013,2,14 to 25 kW,97
2013,2,25 to 100 kW,53
2013,3,Less than 2.5 kW,5011
2013,3,2.5 to 4.5 kW,5868
2013,3,4.5 to 6.5 kW,4600
2013,3,6.5 to 9.5 kW,277
2013,3,9.5 to 14 kW,215
2013,3,14 to 25 kW,96
2013,3,25 to 100 kW,75
2013,4,Less than 2.5 kW,4991
2013,4,2.5 to 4.5 kW,5869
2013,4,4.5 to 6.5 kW,5225
2013,4,6.5 to 9.5 kW,245
2013,4,9.5 to 14 kW,275
2013,4,14 to 25 kW,69
2013,4,25 to 100 kW,67
2013,5,Less than 2.5 kW,5335
2013,5,2.5 to 4.5 kW,6774
2013,5,4.5 to 6.5 kW,7223
2013,5,6.5 to 9.5 kW,326
2013,5,9.5 to 14 kW,273
2013,5,14 to 25 kW,122
2013,5,25 to 100 kW,91
2013,6,Less than 2.5 kW,5026
2013,6,2.5 to 4.5 kW,7468
2013,6,4.5 to 6.5 kW,8780
2013,6,6.5 to 9.5 kW,366
2013,6,9.5 to 14 kW,339
2013,6,14 to 25 kW,131
2013,6,25 to 100 kW,113
2013,7,Less than 2.5 kW,4867
2013,7,2.5 to 4.5 kW,6100
2013,7,4.5 to 6.5 kW,5003
2013,7,6.5 to 9.5 kW,291
2013,7,9.5 to 14 kW,303
2013,7,14 to 25 kW,112
2013,7,25 to 100 kW,89
2013,8,Less than 2.5 kW,4014
2013,8,2.5 to 4.5 kW,5488
2013,8,4.5 to 6.5 kW,4573
2013,8,6.5 to 9.5 kW,359
2013,8,9.5 to 14 kW,335
2013,8,14 to 25 kW,103
2013,8,25 to 100 kW,89
2013,9,Less than 2.5 kW,3551
2013,9,2.5 to 4.5 kW,5488
2013,9,4.5 to 6.5 kW,4854
2013,9,6.5 to 9.5 kW,373
2013,9,9.5 to 14 kW,407
2013,9,14 to 25 kW,122
2013,9,25 to 100 kW,94
2013,10,Less than 2.5 kW,3919
2013,10,2.5 to 4.5 kW,6552
2013,10,4.5 to 6.5 kW,5709
2013,10,6.5 to 9.5 kW,462
2013,10,9.5 to 14 kW,423
2013,10,14 to 25 kW,130
2013,10,25 to 100 kW,121
2013,11,Less than 2.5 kW,4070
2013,11,2.5 to 4.5 kW,5930
2013,11,4.5 to 6.5 kW,5821
2013,11,6.5 to 9.5 kW,450
2013,11,9.5 to 14 kW,455
2013,11,14 to 25 kW,130
2013,11,25 to 100 kW,110
2013,12,Less than 2.5 kW,3028
2013,12,2.5 to 4.5 kW,4839
2013,12,4.5 to 6.5 kW,4807
2013,12,6.5 to 9.5 kW,390
2013,12,9.5 to 14 kW,384
2013,12,14 to 25 kW,150
2013,12,25 to 100 kW,155
2014,1,Less than 2.5 kW,3130
2014,1,2.5 to 4.5 kW,4813
2014,1,4.5 to 6.5 kW,4706
2014,1,6.5 to 9.5 kW,397
2014,1,9.5 to 14 kW,423
2014,1,14 to 25 kW,152
2014,1,25 to 100 kW,147
2014,2,Less than 2.5 kW,3419
2014,2,2.5 to 4.5 kW,5193
2014,2,4.5 to 6.5 kW,4822
