year,month,state,size,capacity
2010,3,aus,4,0
2010,3,aus,5,0
2010,4,aus,0,20
2010,4,aus,1,1
2010,4,aus,2,0
2010,4,aus,3,0
2010,4,aus,4,0
2010,4,aus,5,0
2010,5,aus,0,26
2010,5,aus,1,1
2010,5,aus,2,0
2010,5,aus,3,0
2010,5,aus,4,0
2010,5,aus,5,0
2010,6,aus,0,29
2010,6,aus,1,2
2010,6,aus,2,1
2010,6,aus,3,0
2010,6,aus,4,0
2010,6,aus,5,0
2010,7,aus,0,29
2010,7,aus,1,3
2010,7,aus,2,1
2010,7,aus,3,0
2010,7,aus,4,0
2010,7,aus,5,0
2010,8,aus,0,31
2010,8,aus,1,3
2010,8,aus,2,2
2010,8,aus,3,0
2010,8,aus,4,0
2010,8,aus,5,0
2010,9,aus,0,34
2010,9,aus,1,4
2010,9,aus,2,2
2010,9,aus,3,0
2010,9,aus,4,0
2010,9,aus,5,0
2010,10,aus,0,38
2010,10,aus,1,4
2010,10,aus,2,2
2010,10,aus,3,0
2010,10,aus,4,0
2010,10,aus,5,0
2010,11,aus,0,45
2010,11,aus,1,5
2010,11,aus,2,2
2010,11,aus,3,1
2010,11,aus,4,0
2010,11,aus,5,0
2010,12,aus,0,34
2010,12,aus,1,3
2010,12,aus,2,2
2010,12,aus,3,0
2010,12,aus,4,0
2010,12,aus,5,0
2011,1,aus,0,47
2011,1,aus,1,6
2011,1,aus,2,3
2011,1,aus,3,0
2011,1,aus,4,0
2011,1,aus,5,0
2011,2,aus,0,53
2011,2,aus,1,6
2011,2,aus,2,3
2011,2,aus,3,0
2011,2,aus,4,0
2011,2,aus,5,0
2011,3,aus,0,65
2011,3,aus,1,8
2011,3,aus,2,5
2011,3,aus,3,0
2011,3,aus,4,0
2011,3,aus,5,0
2011,4,aus,0,61
2011,4,aus,1,8
2011,4,aus,2,5
2011,4,aus,3,0
2011,4,aus,4,0
2011,4,aus,5,0
2011,5,aus,0,95
2011,5,aus,1,12
2011,5,aus,2,6
2011,5,aus,3,1
2011,5,aus,4,0
2011,5,aus,5,0
2011,6,aus,0,133
2011,6,aus,1,22
2011,6,aus,2,7
2011,6,aus,3,3
2011,6,aus,4,0
2011,6,aus,5,0
2011,7,aus,0,43
2011,7,aus,1,7
2011,7,aus,2,2
2011,7,aus,3,0
2011,7,aus,4,0
2011,7,aus,5,0
2011,8,aus,0,44
2011,8,aus,1,9
2011,8,aus,2,1
2011,8,aus,3,0
2011,8,aus,4,0
2011,8,aus,5,0
2011,9,aus,0,50
2011,9,aus,1,14
2011,9,aus,2,2
2011,9,aus,3,1
2011,9,aus,4,1
2011,9,aus,5,0
2011,10,aus,0,32
2011,10,aus,1,8
2011,10,aus,2,1
2011,10,aus,3,0
2011,10,aus,4,0
2011,10,aus,5,0
2011,11,aus,0,34
2011,11,aus,1,10
2011,11,aus,2,2
2011,11,aus,3,1
2011,11,aus,4,0
2011,11,aus,5,0
2011,12,aus,0,28
2011,12,aus,1,9
2011,12,aus,2,1
2011,12,aus,3,1
2011,12,aus,4,0
2011,12,aus,5,0
2012,1,aus,0,24
2012,1,aus,1,7
2012,1,aus,2,1
2012,1,aus,3,0
2012,1,aus,4,0
2012,1,aus,5,0
2012,2,aus,0,37
2012,2,aus,1,11
2012,2,aus,2,1
2012,2,aus,3,0
2012,2,aus,4,2
2012,2,aus,5,0
2012,3,aus,0,44
2012,3,aus,1,15
2012,3,aus,2,1
2012,3,aus,3,0
2012,3,aus,4,0
2012,3,aus,5,0
2012,4,aus,0,50
2012,4,aus,1,18
2012,4,aus,2,2
2012,4,aus,3,0
2012,4,aus,4,0
2012,4,aus,5,0
2012,5,aus,0,83
2012,5,aus,1,33
2012,5,aus,2,3
2012,5,aus,3,1
2012,5,aus,4,0
2012,5,aus,5,0
2012,6,aus,0,113
2012,6,aus,1,57
2012,6,aus,2,6
2012,6,aus,3,1
2012,6,aus,4,0
2012,6,aus,5,0
2012,7,aus,0,49
2012,7,aus,1,25
2012,7,aus,2,2
2012,7,aus,3,1
2012,7,aus,4,0
2012,7,aus,5,0
2012,8,aus,0,52
2012,8,aus,1,32
2012,8,aus,2,2
2012,8,aus,3,1
2012,8,aus,4,10
2012,8,aus,5,0
2012,9,aus,0,52
2012,9,aus,1,38
2012,9,aus,2,4
2012,9,aus,3,1
2012,9,aus,4,0
2012,9,aus,5,0
2012,10,aus,0,41
2012,10,aus,1,27
2012,10,aus,2,2
2012,10,aus,3,1
2012,10,aus,4,0
2012,10,aus,5,0
2012,11,aus,0,41
2012,11,aus,1,27
2012,11,aus,2,2
2012,11,aus,3,1
2012,11,aus,4,0
2012,11,aus,5,0
2012,12,aus,0,55
2012,12,aus,1,43
2012,12,aus,2,5
2012,12,aus,3,2
2012,12,aus,4,0
2012,12,aus,5,0
2013,1,aus,0,27
2013,1,aus,1,19
2013,1,aus,2,3
2013,1,aus,3,1
2013,1,aus,4,0
2013,1,aus,5,0
2013,2,aus,0,27
2013,2,aus,1,22
2013,2,aus,2,3
2013,2,aus,3,2
2013,2,aus,4,0
2013,2,aus,5,0
2013,3,aus,0,27
2013,3,aus,1,25
2013,3,aus,2,3
2013,3,aus,3,3
2013,3,aus,4,0
2013,3,aus,5,0
2013,4,aus,0,27
2013,4,aus,1,28
2013,4,aus,2,4
2013,4,aus,3,2
2013,4,aus,4,0
2013,4,aus,5,0
2013,5,aus,0,31
2013,5,aus,1,39
2013,5,aus,2,5
2013,5,aus,3,3
2013,5,aus,4,0
2013,5,aus,5,0
2013,6,aus,0,33
2013,6,aus,1,48
2013,6,aus,2,5
2013,6,aus,3,4
2013,6,aus,4,0
2013,6,aus,5,0
2013,7,aus,0,27
2013,7,aus,1,27
2013,7,aus,2,5
2013,7,aus,3,3
2013,7,aus,4,0
2013,7,aus,5,0
2013,8,aus,0,24
2013,8,aus,1,26
2013,8,aus,2,5
2013,8,aus,3,3
2013,8,aus,4,1
2013,8,aus,5,0
2013,9,aus,0,23
2013,9,aus,1,27
2013,9,aus,2,6
2013,9,aus,3,3
2013,9,aus,4,0
2013,9,aus,5,0
2013,10,aus,0,28
2013,10,aus,1,32
2013,10,aus,2,6
2013,10,aus,3,4
2013,10,aus,4,0
2013,10,aus,5,0
2013,11,aus,0,26
2013,11,aus,1,33
2013,11,aus,2,6
2013,11,aus,3,4
2013,11,aus,4,13
2013,11,aus,5,0
2013,12,aus,0,20
2013,12,aus,1,27
2013,12,aus,2,6
2013,12,aus,3,5
2013,12,aus,4,3
2013,12,aus,5,0
2014,1,aus,0,21
2014,1,aus,1,27
2014,1,aus,2,7
2014,1,aus,3,5
2014,1,aus,4,0
2014,1,aus,5,0
2014,2,aus,0,22
2014,2,aus,1,27
2014,2,aus,2,4
2014,2,aus,3,3
2014,2,aus,4,0
2014,2,aus,5,0
2014,3,aus,0,23
2014,3,aus,1,27
2014,3,aus,2,4
2014,3,aus,3,6
2014,3,aus,4,0
2014,3,aus,5,0
2014,4,aus,0,21
2014,4,aus,1,27
2014,4,aus,2,3
2014,4,aus,3,3
2014,4,aus,4,5
2014,4,aus,5,0
2014,5,aus,0,25
2014,5,aus,1,33
2014,5,aus,2,5
2014,5,aus,3,6
2014,5,aus,4,22
2014,5,aus,5,0
2014,6,aus,0,22
2014,6,aus,1,30
2014,6,aus,2,5
2014,6,aus,3,6
2014,6,aus,4,0
2014,6,aus,5,0
2014,7,aus,0,25
2014,7,aus,1,32
2014,7,aus,2,5
2014,7,aus,3,7
2014,7,aus,4,1
2014,7,aus,5,0
2014,8,aus,0,23
2014,8,aus,1,29
2014,8,aus,2,5
2014,8,aus,3,7
2014,8,aus,4,1
2014,8,aus,5,0
2014,9,aus,0,26
2014,9,aus,1,33
2014,9,aus,2,5
2014,9,aus,3,6
2014,9,aus,4,0
2014,9,aus,5,0
2014,10,aus,0,26
2014,10,aus,1,33
2014,10,aus,2,6
2014,10,aus,3,7
2014,10,aus,4,1
2014,10,aus,5,0
2014,11,aus,0,22
2014,11,aus,1,29
2014,11,aus,2,5
2014,11,aus,3,8
2014,11,aus,4,1
2014,11,aus,5,0
2014,12,aus,0,21
2014,12,aus,1,28
2014,12,aus,2,6
2014,12,aus,3,8
2014,12,aus,4,1
2014,12,aus,5,0
2015,1,aus,0,18
2015,1,aus,1,23
2015,1,aus,2,4
2015,1,aus,3,6
2015,1,aus,4,0
2015,1,aus,5,0
2015,2,aus,0,19
2015,2,aus,1,28
2015,2,aus,2,5
2015,2,aus,3,7
2015,2,aus,4,0
2015,2,aus,5,0
2015,3,aus,0,19
2015,3,aus,1,29
2015,3,aus,2,5
2015,3,aus,3,7
2015,3,aus,4,1
2015,3,aus,5,102
2015,4,aus,0,16
2015,4,aus,1,24
2015,4,aus,2,5
2015,4,aus,3,4
2015,4,aus,4,2
2015,4,aus,5,0
2015,5,aus,0,16
2015,5,aus,1,26
2015,5,aus,2,5
2015,5,aus,3,7
2015,5,aus,4,3
2015,5,aus,5,0
2015,6,aus,0,16
2015,6,aus,1,28
2015,6,aus,2,6
2015,6,aus,3,7
2015,6,aus,4,1
2015,6,aus,5,0
2015,7,aus,0,17
2015,7,aus,1,32
2015,7,aus,2,7
2015,7,aus,3,7
2015,7,aus,4,1
2015,7,aus,5,53
2015,8,aus,0,16
2015,8,aus,1,29
2015,8,aus,2,5
2015,8,aus,3,7
2015,8,aus,4,4
2015,8,aus,5,0
2015,9,aus,0,16
2015,9,aus,1,30
2015,9,aus,2,6
2015,9,aus,3,6
2015,9,aus,4,2
2015,9,aus,5,0
2015,10,aus,0,15
2015,10,aus,1,29
2015,10,aus,2,5
2015,10,aus,3,9
2015,10,aus,4,2
2015,10,aus,5,0
2015,11,aus,0,15
2015,11,aus,1,28
2015,11,aus,2,6
2015,11,aus,3,7
2015,11,aus,4,5
2015,11,aus,5,0
2015,12,aus,0,13
2015,12,aus,1,26
2015,12,aus,2,6
2015,12,aus,3,8
2015,12,aus,4,3
2015,12,aus,5,0
2016,1,aus,0,10
2016,1,aus,1,22
2016,1,aus,2,4
2016,1,aus,3,4
2016,1,aus,4,0
2016,1,aus,5,0
2016,2,aus,0,14
2016,2,aus,1,29
2016,2,aus,2,5
2016,2,aus,3,7
2016,2,aus,4,1
2016,2,aus,5,56
2016,3,aus,0,14
2016,3,aus,1,28
2016,3,aus,2,5
2016,3,aus,3,7
2016,3,aus,4,2
2016,3,aus,5,0
2016,4,aus,0,13
2016,4,aus,1,27
2016,4,aus,2,5
2016,4,aus,3,8
2016,4,aus,4,12
2016,4,aus,5,0
2016,5,aus,0,13
2016,5,aus,1,29
2016,5,aus,2,6
2016,5,aus,3,9
2016,5,aus,4,1
2016,5,aus,5,0
2016,6,aus,0,12
2016,6,aus,1,27
2016,6,aus,2,7
2016,6,aus,3,9
2016,6,aus,4,7
2016,6,aus,5,0
2016,7,aus,0,13
2016,7,aus,1,27
2016,7,aus,2,7
2016,7,aus,3,9
2016,7,aus,4,1
2016,7,aus,5,0
2016,8,aus,0,14
2016,8,aus,1,31
2016,8,aus,2,7
2016,8,aus,3,9
2016,8,aus,4,2
2016,8,aus,5,0
2016,9,aus,0,13
2016,9,aus,1,32
2016,9,aus,2,8
2016,9,aus,3,11
2016,9,aus,4,3
2016,9,aus,5,0
2016,10,aus,0,12
2016,10,aus,1,32
2016,10,aus,2,7
2016,10,aus,3,11
2016,10,aus,4,1
2016,10,aus,5,0
2016,11,aus,0,16
2016,11,aus,1,39
2016,11,aus,2,8
2016,11,aus,3,10
2016,11,aus,4,3
2016,11,aus,5,0
2016,12,aus,0,15
2016,12,aus,1,44
2016,12,aus,2,11
2016,12,aus,3,24
2016,12,aus,4,26
2016,12,aus,5,0
2017,1,aus,0,12
2017,1,aus,1,31
2017,1,aus,2,4
2017,1,aus,3,5
2017,1,aus,4,2
2017,1,aus,5,0
2017,2,aus,0,15
2017,2,aus,1,39
2017,2,aus,2,7
2017,2,aus,3,8
2017,2,aus,4,1
2017,2,aus,5,0
2017,3,aus,0,16
2017,3,aus,1,43
2017,3,aus,2,9
2017,3,aus,3,12
2017,3,aus,4,28
2017,3,aus,5,0
2017,4,aus,0,12
2017,4,aus,1,37
2017,4,aus,2,7
2017,4,aus,3,11
2017,4,aus,4,1
2017,4,aus,5,0
2017,5,aus,0,16
2017,5,aus,1,46
2017,5,aus,2,12
2017,5,aus,3,16
2017,5,aus,4,6
2017,5,aus,5,0
2017,6,aus,0,14
2017,6,aus,1,46
2017,6,aus,2,12
2017,6,aus,3,18
2017,6,aus,4,5
2017,6,aus,5,0
2017,7,aus,0,14
2017,7,aus,1,49
