"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"6029","391","1236","29.9","1915.0","1619.0","296.0","0.0","369","22","0","16910.0","108,222","25.1"
"6030","7988","16852","46.8","33897.0","31952.0","1802.0","143.0","7894","93","1","259228.0","1,659,059","384.7"
"6031","3787","8012","46.5","18925.0","17103.0","1622.0","200.0","3722","64","1","125323.0","802,069","186.8"
"6032","47","72","50.0","416.0","160.0","256.0","0.0","36","11","0","9521.0","60,935","14.1"
"6033","113","148","50.0","1466.0","363.0","1103.0","0.0","74","39","0","21002.0","134,411","31.0"
"6034","901","1534","58.3","4105.0","4032.0","73.0","0.0","895","6","0","15296.0","97,895","22.8"
"6035","2392","5442","43.3","11261.0","10354.0","706.0","201.0","2358","33","1","71216.0","455,781","105.9"
"6036","2918","8111","35.6","14168.0","13312.0","856.0","0.0","2884","34","0","118926.0","761,125","177.1"
"6037","947","1533","60.7","4369.0","4152.0","217.0","0.0","930","17","0","25770.0","164,929","38.2"
"6038","2389","5631","42.1","10826.0","10143.0","683.0","0.0","2371","18","0","53752.0","344,011","80.1"
"6041","535","1142","45.5","2660.0","2094.0","424.0","142.0","520","14","1","29149.0","186,552","43.1"
"6042","31","86","34.9","130.0","117.0","13.0","0.0","30","1","0","2639.0","16,891","3.9"
"6043","82","483","16.8","351.0","338.0","13.0","0.0","81","1","0","260.0","1,662","0.4"
"6044","385","1655","22.6","1740.0","1475.0","265.0","0.0","374","11","0","13508.0","86,454","20.7"
"6050","1647","5525","28.0","8732.0","7040.0","1692.0","0.0","1546","101","0","91595.0","586,211","135.5"
"6051","978","5332","17.8","4415.0","3811.0","604.0","0.0","947","31","0","56084.0","358,935","83.1"
"6052","1416","4569","30.4","7096.0","6055.0","841.0","200.0","1387","28","1","67773.0","433,749","100.3"
"6053","2235","6780","31.3","11783.0","8806.0","2977.0","0.0","2119","116","0","132898.0","850,550","199.0"
"6054","3350","9694","33.7","16070.0","13094.0","2610.0","366.0","3264","84","2","162456.0","1,039,720","242.3"
"6055","6790","12252","54.0","38549.0","33852.0","4197.0","500.0","6611","177","2","221218.0","1,415,794","329.7"
"6056","7416","19342","37.0","36442.0","29787.0","6465.0","190.0","7148","267","1","356197.0","2,279,658","528.7"
"6057","3335","7255","45.1","14733.0","12836.0","1548.0","349.0","3272","62","1","145738.0","932,722","212.6"
"6058","2829","5927","46.8","12600.0","10717.0","1684.0","199.0","2775","53","1","137920.0","882,687","202.7"
"6059","3407","10645","31.4","15370.0","14569.0","801.0","0.0","3347","60","0","154394.0","988,123","228.7"
"6060","2127","11987","17.4","9956.0","8963.0","851.0","142.0","2086","40","1","127212.0","814,155","188.3"
"6061","3778","20240","18.5","15577.0","14459.0","920.0","198.0","3743","34","1","207354.0","1,327,063","307.5"
"6062","4989","15073","32.3","24177.0","20239.0","3938.0","0.0","4866","123","0","236370.0","1,512,771","350.0"
"6063","2863","5184","54.8","12390.0","11898.0","492.0","0.0","2840","23","0","83622.0","535,180","123.8"
"6064","4912","12271","39.7","20335.0","19243.0","1092.0","0.0","4877","35","0","172334.0","1,102,941","255.1"
"6065","14649","26775","53.0","75667.0","63001.0","12228.0","438.0","14196","451","2","624464.0","3,996,571","933.1"
"6066","3572","6799","52.3","15221.0","14785.0","436.0","0.0","3553","19","0","111401.0","712,966","164.9"
"6068","18","8","","257.0","42.0","215.0","0.0","11","7","0","260.0","1,666","0.4"
"6069","9610","19908","47.4","50926.0","43565.0","2762.0","4599.0","9443","163","4","334022.0","2,137,742","496.7"
"6070","724","1448","48.3","3258.0","2882.0","376.0","0.0","700","24","0","27784.0","177,820","40.4"
"6071","665","1337","48.5","2985.0","2676.0","309.0","0.0","649","16","0","31244.0","199,962","45.4"
"6072","188","361","50.7","761.0","701.0","60.0","0.0","183","5","0","7633.0","48,854","11.1"
"6073","666","1355","46.8","3897.0","2714.0","753.0","430.0","634","31","1","36717.0","234,988","53.4"
"6074","238","415","55.7","1053.0","961.0","92.0","0.0","231","7","0","11355.0","72,675","16.5"
"6076","4361","9013","46.2","20897.0","17198.0","3699.0","0.0","4164","197","0","204243.0","1,307,156","296.9"
"6077","422","537","67.4","3120.0","1898.0","1222.0","0.0","362","60","0","33379.0","213,626","49.5"
"6078","172","361","36.6","1492.0","752.0","740.0","0.0","132","40","0","20563.0","131,603","30.4"
"6079","3","17","","20.0","20.0","0.0","0.0","3","0","0","1628.0","10,419","2.4"
"6081","947","1767","52.0","4409.0","4040.0","369.0","0.0","918","29","0","45773.0","292,950","66.5"
"6082","671","1359","48.1","3057.0","2771.0","286.0","0.0","653","18","0","32735.0","209,502","47.6"
"6083","898","1383","62.4","4269.0","3628.0","641.0","0.0","863","35","0","63524.0","406,555","92.2"
"6084","2145","3598","56.6","11693.0","9602.0","2091.0","0.0","2037","108","0","113127.0","724,015","167.5"
"6100","1370","6157","21.1","8095.0","5517.0","1991.0","587.0","1301","67","2","79051.0","505,927","117.0"
"6101","1960","7534","25.3","9297.0","7916.0","1381.0","0.0","1907","53","0","106376.0","680,809","158.0"
"6102","1148","6545","16.7","6301.0","4369.0","1932.0","0.0","1092","56","0","87319.0","558,845","131.6"
"6103","900","4135","21.0","4231.0","3413.0","818.0","0.0","869","31","0","53387.0","341,678","79.0"
"6104","1947","6862","26.8","11232.0","7456.0","3636.0","140.0","1836","110","1","138311.0","885,187","204.9"
"6105","1959","7330","25.6","11267.0","7442.0","3133.0","692.0","1880","78","1","187311.0","1,198,793","281.6"
"6107","7235","20333","34.7","35869.0","29039.0","5758.0","1072.0","7055","179","1","321740.0","2,059,134","483.2"
